year,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
2023,---,---,---,---,---,---,"491/24%/-43,302/0.806","1683/26%/-189,276/0.748","1547/35%/+63,016/1.105","1653/31%/+97,834/1.139","1660/31%/+57,380/1.084","1556/34%/+214,068/1.352"
2024,"1688/31%/+254,164/1.362","1706/30%/+90,918/1.127","1671/27%/+42,338/1.057","1588/21%/-143,936/0.814","1780/27%/-31,810/0.960",1675/28%/+750/1.001,"1753/23%/-143,616/0.825","1624/20%/-120,128/0.851","1526/24%/+52,678/1.074","1790/23%/-17,230/0.980","1615/21%/-85,530/0.891","1637/30%/+47,386/1.068"
2025,"1593/30%/+220,904/1.320","1519/24%/-207,068/0.703","1554/20%/-131,338/0.829","1730/24%/+23,040/1.028","1762/22%/-202,414/0.761","1659/33%/+260,202/1.386","1724/28%/-45,528/0.939","1642/29%/+83,926/1.117","1732/28%/+122,696/1.162","1806/27%/+178,168/1.218","1528/22%/-27,516/0.963","1711/24%/-48,392/0.939"
2026,"1468/27%/+170,204/1.257","1512/19%/-124,964/0.836","1516/19%/-81,452/0.893","697/16%/-113,484/0.690",---,---,---,---,---,---,---,---
