system,signal_dt,entry_dt,exit_dt,year,month,pnl_pt,pnl_yen,result
①,2023-08-03 18:55:00,2023-08-03 19:00:00,2023-08-03 23:05:00,2023,8,-2.2,-22.0,TIME
①,2023-08-03 19:00:00,2023-08-03 19:05:00,2023-08-03 23:10:00,2023,8,-52.2,-522.0,TIME
①,2023-08-03 19:05:00,2023-08-03 19:10:00,2023-08-03 23:15:00,2023,8,-62.2,-622.0,SL
①,2023-08-03 19:10:00,2023-08-03 19:15:00,2023-08-03 23:10:00,2023,8,-62.2,-622.0,SL
①,2023-08-03 19:15:00,2023-08-03 19:20:00,2023-08-03 23:10:00,2023,8,-62.2,-622.0,SL
①,2023-08-03 19:20:00,2023-08-03 19:25:00,2023-08-03 23:10:00,2023,8,-62.2,-622.0,SL
①,2023-08-03 19:25:00,2023-08-03 19:30:00,2023-08-03 23:10:00,2023,8,-62.2,-622.0,SL
①,2023-08-03 19:30:00,2023-08-03 19:35:00,2023-08-03 23:10:00,2023,8,-62.2,-622.0,SL
①,2023-08-03 19:35:00,2023-08-03 19:40:00,2023-08-03 22:35:00,2023,8,-62.2,-622.0,SL
①,2023-08-03 19:40:00,2023-08-03 19:45:00,2023-08-03 22:30:00,2023,8,-62.2,-622.0,SL
①,2023-08-03 19:45:00,2023-08-03 19:50:00,2023-08-03 21:45:00,2023,8,-62.2,-622.0,SL
①,2023-08-03 19:50:00,2023-08-03 19:55:00,2023-08-03 22:35:00,2023,8,-62.2,-622.0,SL
①,2023-08-03 19:55:00,2023-08-03 20:00:00,2023-08-03 21:45:00,2023,8,-62.2,-622.0,SL
①,2023-08-03 20:00:00,2023-08-03 20:05:00,2023-08-03 21:35:00,2023,8,-62.2,-622.0,SL
①,2023-08-03 20:05:00,2023-08-03 20:10:00,2023-08-03 21:45:00,2023,8,-62.2,-622.0,SL
①,2023-08-03 20:10:00,2023-08-03 20:15:00,2023-08-03 21:45:00,2023,8,-62.2,-622.0,SL
①,2023-08-03 20:15:00,2023-08-03 20:20:00,2023-08-03 22:35:00,2023,8,-62.2,-622.0,SL
①,2023-08-03 20:20:00,2023-08-03 20:25:00,2023-08-03 21:45:00,2023,8,-62.2,-622.0,SL
①,2023-08-03 22:45:00,2023-08-03 22:50:00,2023-08-03 23:00:00,2023,8,-62.2,-622.0,SL
①,2023-08-03 22:50:00,2023-08-03 22:55:00,2023-08-03 23:05:00,2023,8,-62.2,-622.0,SL
①,2023-08-03 22:55:00,2023-08-03 23:00:00,2023-08-03 23:05:00,2023,8,-62.2,-622.0,SL
①,2023-08-07 18:10:00,2023-08-07 18:15:00,2023-08-07 18:45:00,2023,8,-62.2,-622.0,SL
①,2023-08-07 18:15:00,2023-08-07 18:20:00,2023-08-07 19:00:00,2023,8,-62.2,-622.0,SL
①,2023-08-07 18:20:00,2023-08-07 18:25:00,2023-08-07 18:45:00,2023,8,-62.2,-622.0,SL
①,2023-08-07 18:25:00,2023-08-07 18:30:00,2023-08-07 19:00:00,2023,8,-62.2,-622.0,SL
①,2023-08-07 18:30:00,2023-08-07 18:35:00,2023-08-07 19:40:00,2023,8,-62.2,-622.0,SL
①,2023-08-07 21:30:00,2023-08-07 21:35:00,2023-08-07 21:35:00,2023,8,-62.2,-622.0,SL
①,2023-08-07 21:50:00,2023-08-07 21:55:00,2023-08-07 22:00:00,2023,8,-62.2,-622.0,SL
①,2023-08-07 21:55:00,2023-08-07 22:00:00,2023-08-07 23:05:00,2023,8,-62.2,-622.0,SL
①,2023-08-07 22:00:00,2023-08-07 22:05:00,2023-08-07 22:25:00,2023,8,-62.2,-622.0,SL
①,2023-08-07 22:05:00,2023-08-07 22:10:00,2023-08-07 23:05:00,2023,8,-62.2,-622.0,SL
①,2023-08-07 22:10:00,2023-08-07 22:15:00,2023-08-07 23:05:00,2023,8,-62.2,-622.0,SL
①,2023-08-07 22:15:00,2023-08-07 22:20:00,2023-08-07 23:05:00,2023,8,-62.2,-622.0,SL
①,2023-08-07 22:20:00,2023-08-07 22:25:00,2023-08-08 00:00:00,2023,8,237.8,2378.0,TP
①,2023-08-07 22:40:00,2023-08-07 22:45:00,2023-08-07 23:00:00,2023,8,-62.2,-622.0,SL
①,2023-08-07 22:45:00,2023-08-07 22:50:00,2023-08-07 22:50:00,2023,8,-62.2,-622.0,SL
①,2023-08-07 22:50:00,2023-08-07 22:55:00,2023-08-07 23:00:00,2023,8,-62.2,-622.0,SL
①,2023-08-07 22:55:00,2023-08-07 23:00:00,2023-08-07 23:05:00,2023,8,-62.2,-622.0,SL
①,2023-08-07 23:25:00,2023-08-07 23:30:00,2023-08-08 00:00:00,2023,8,237.8,2378.0,TP
①,2023-08-07 23:30:00,2023-08-07 23:35:00,2023-08-08 00:35:00,2023,8,237.8,2378.0,TP
①,2023-08-07 23:35:00,2023-08-07 23:40:00,2023-08-08 00:40:00,2023,8,237.8,2378.0,TP
①,2023-08-07 23:40:00,2023-08-07 23:45:00,2023-08-08 00:40:00,2023,8,237.8,2378.0,TP
①,2023-08-07 23:45:00,2023-08-07 23:50:00,2023-08-08 00:50:00,2023,8,237.8,2378.0,TP
①,2023-08-07 23:50:00,2023-08-07 23:55:00,2023-08-08 04:00:00,2023,8,227.8,2278.0,TIME
①,2023-08-10 17:55:00,2023-08-10 18:00:00,2023-08-10 18:50:00,2023,8,-62.2,-622.0,SL
①,2023-08-10 18:00:00,2023-08-10 18:05:00,2023-08-10 18:50:00,2023,8,-62.2,-622.0,SL
①,2023-08-10 18:05:00,2023-08-10 18:10:00,2023-08-10 19:10:00,2023,8,-62.2,-622.0,SL
①,2023-08-10 18:10:00,2023-08-10 18:15:00,2023-08-10 19:10:00,2023,8,-62.2,-622.0,SL
①,2023-08-10 19:30:00,2023-08-10 19:35:00,2023-08-10 21:20:00,2023,8,-62.2,-622.0,SL
①,2023-08-10 19:35:00,2023-08-10 19:40:00,2023-08-10 22:00:00,2023,8,-62.2,-622.0,SL
①,2023-08-10 20:50:00,2023-08-10 20:55:00,2023-08-10 21:55:00,2023,8,-62.2,-622.0,SL
①,2023-08-10 20:55:00,2023-08-10 21:00:00,2023-08-10 21:50:00,2023,8,-62.2,-622.0,SL
①,2023-08-10 21:00:00,2023-08-10 21:05:00,2023-08-10 21:50:00,2023,8,-62.2,-622.0,SL
①,2023-08-10 21:05:00,2023-08-10 21:10:00,2023-08-10 22:00:00,2023,8,-62.2,-622.0,SL
①,2023-08-10 23:05:00,2023-08-10 23:10:00,2023-08-11 00:00:00,2023,8,237.8,2378.0,TP
①,2023-08-10 23:20:00,2023-08-10 23:25:00,2023-08-11 00:00:00,2023,8,237.8,2378.0,TP
①,2023-08-10 23:35:00,2023-08-10 23:40:00,2023-08-11 00:00:00,2023,8,237.8,2378.0,TP
①,2023-08-10 23:40:00,2023-08-10 23:45:00,2023-08-11 00:00:00,2023,8,237.8,2378.0,TP
①,2023-08-10 23:45:00,2023-08-10 23:50:00,2023-08-11 00:00:00,2023,8,237.8,2378.0,TP
①,2023-08-10 23:50:00,2023-08-10 23:55:00,2023-08-11 00:00:00,2023,8,237.8,2378.0,TP
①,2023-08-14 22:20:00,2023-08-14 22:25:00,2023-08-14 22:30:00,2023,8,-62.2,-622.0,SL
①,2023-08-14 22:25:00,2023-08-14 22:30:00,2023-08-15 00:00:00,2023,8,-62.2,-622.0,SL
①,2023-08-14 22:30:00,2023-08-14 22:35:00,2023-08-15 00:00:00,2023,8,-62.2,-622.0,SL
①,2023-08-14 22:35:00,2023-08-14 22:40:00,2023-08-15 00:00:00,2023,8,-62.2,-622.0,SL
①,2023-08-14 22:40:00,2023-08-14 22:45:00,2023-08-15 00:00:00,2023,8,-62.2,-622.0,SL
①,2023-08-14 23:10:00,2023-08-14 23:15:00,2023-08-15 00:00:00,2023,8,-62.2,-622.0,SL
①,2023-08-14 23:15:00,2023-08-14 23:20:00,2023-08-14 23:55:00,2023,8,-62.2,-622.0,SL
①,2023-08-14 23:20:00,2023-08-14 23:25:00,2023-08-14 23:50:00,2023,8,-62.2,-622.0,SL
①,2023-08-14 23:25:00,2023-08-14 23:30:00,2023-08-15 00:00:00,2023,8,-62.2,-622.0,SL
①,2023-08-14 23:30:00,2023-08-14 23:35:00,2023-08-15 00:00:00,2023,8,-62.2,-622.0,SL
