feature,value,n,strong_up_rate_pct,strong_down_rate_pct,edge_up_minus_down
time_bucket_15m,00:30-00:45,2073,21.47,23.69,-2.22
flag_break_prev_high,break_prev_high,36968,22.17,24.41,-2.24
weekday,Friday,33638,22.84,25.09,-2.25
time_bucket_15m,20:45-21:00,2073,10.95,13.27,-2.32
time_bucket_15m,17:00-17:15,2073,20.12,22.48,-2.36
time_bucket_15m,02:00-02:15,2073,16.21,18.62,-2.41
time_bucket_15m,10:30-10:45,2070,30.1,32.56,-2.46
time_bucket_15m,05:00-05:15,2073,7.81,10.27,-2.46
time_bucket_15m,02:30-02:45,2073,15.63,18.14,-2.51
time_bucket_15m,04:00-04:15,2073,12.54,15.1,-2.56
time_bucket_15m,21:45-22:00,2073,11.87,14.42,-2.56
time_bucket_15m,03:45-04:00,2073,13.56,16.16,-2.6
time_bucket_15m,18:00-18:15,2073,12.3,14.91,-2.6
time_bucket_15m,09:45-10:00,2070,37.63,40.24,-2.61
time_bucket_15m,18:30-18:45,2073,9.99,12.69,-2.7
cat_gap,gap_down,62678,25.09,27.8,-2.71
time_bucket_15m,12:15-12:30,2070,27.97,30.72,-2.75
time_bucket_15m,04:15-04:30,2073,14.18,16.98,-2.8
time_bucket_15m,23:15-23:30,2070,30.34,33.29,-2.95
time_bucket_15m,02:45-03:00,2073,15.24,18.23,-2.99
cat_prev_day_change,prev_big_up,32912,23.22,26.29,-3.08
time_bucket_15m,01:45-02:00,2073,16.4,19.49,-3.09
time_bucket_15m,17:15-17:30,2073,17.7,20.89,-3.18
time_bucket_15m,03:30-03:45,2073,12.35,15.58,-3.23
time_bucket_15m,14:45-15:00,2070,32.8,36.09,-3.29
time_bucket_15m,15:15-15:30,1412,48.02,51.42,-3.4
time_bucket_15m,22:45-23:00,2073,26.24,29.67,-3.42
time_bucket_15m,15:00-15:15,2070,36.81,40.29,-3.48
time_bucket_15m,08:45-09:00,2070,55.02,58.6,-3.57
time_bucket_15m,18:15-18:30,2073,9.79,13.46,-3.67
time_bucket_15m,01:15-01:30,2073,15.82,19.54,-3.71
time_bucket_15m,01:30-01:45,2073,15.82,19.63,-3.81
time_bucket_15m,02:15-02:30,2073,14.62,18.57,-3.96
time_bucket_15m,10:45-11:00,2070,25.94,30.14,-4.2
time_bucket_15m,22:30-22:45,2073,27.88,32.27,-4.39
time_bucket_15m,15:30-15:45,1083,49.12,54.02,-4.89
cat_dist_ma20,far_above,6597,31.91,37.3,-5.4
time_bucket_15m,15:45-16:00,361,46.26,51.8,-5.54
