combo_size,condition,n,hit_rate_pct,avg_up_move,avg_down_move,median_up_move,median_down_move,avg_close_move
3,cat_rsi=rsi_midlow & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:45-16:00,42,83.33,-218.21,-348.1,-285.0,-382.5,-285.48
3,cat_dist_ma20=near_above & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:45-16:00,113,83.19,-336.99,-455.4,-205.0,-320.0,-395.75
3,cat_trend=trend_up & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:45-16:00,101,83.17,-373.22,-497.18,-240.0,-325.0,-436.98
3,cat_dist_ma20=far_above & cat_bb_ratio=bb_squeeze & flag_bull=not_bull,83,83.13,92.23,-122.05,70.0,-95.0,-3.13
3,cat_vol_ratio=vol_spike & flag_pullback_vol_weak=pullback_vol_weak & time_bucket_15m=08:45-09:00,53,83.02,165.09,-150.09,130.0,-105.0,16.98
3,flag_pullback_2bar=no_pullback_2bar & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:45-16:00,100,83.0,-338.25,-459.85,-262.5,-340.0,-396.7
3,cat_dist_ma20=far_below & cat_prev_day_change=prev_big_up & time_bucket_15m=09:00-09:15,35,82.86,87.29,-88.0,60.0,-70.0,17.43
3,cat_prev_day_change=prev_big_down & flag_pullback_2bar=pullback_2bar & time_bucket_15m=08:45-09:00,133,82.71,94.1,-140.45,60.0,-105.0,-41.17
3,cat_rsi=rsi_midlow & flag_break_prev_high=break_prev_high & time_bucket_15m=09:00-09:15,63,82.54,77.06,-84.05,40.0,-75.0,-5.32
3,cat_dist_ma20=far_above & cat_bb_ratio=bb_squeeze & cat_body_ratio=body_mid,102,82.35,101.03,-116.81,57.5,-100.0,-6.32
3,cat_dist_ma20=far_below & flag_break_prev_low=no_break_prev_low & time_bucket_15m=09:00-09:15,68,82.35,126.76,-162.35,70.0,-127.5,-16.76
3,cat_dist_ma20=far_below & flag_hold_prev_high=break_prev_high & time_bucket_15m=09:45-10:00,34,82.35,91.18,-131.03,82.5,-117.5,-44.85
3,cat_dist_ma20=far_below & cat_bb_ratio=bb_mid & weekday=Monday,45,82.22,75.0,-104.78,50.0,-85.0,-20.44
3,cat_dist_ma20=far_below & cat_gap=gap_down & time_bucket_15m=23:00-23:15,45,82.22,81.89,-116.89,70.0,-100.0,-29.67
3,cat_dist_ma20=far_above & time_bucket_15m=08:45-09:00 & weekday=Monday,56,82.14,128.75,-159.2,87.5,-100.0,-15.09
3,cat_atr_ratio=atr_high & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:45-16:00,56,82.14,-347.32,-463.04,-262.5,-377.5,-410.89
2,cat_dist_ma20=far_above & time_bucket_15m=23:00-23:15,39,82.05,159.36,-147.95,60.0,-115.0,25.13
3,cat_trend=trend_up & cat_dist_ma20=far_above & time_bucket_15m=23:00-23:15,39,82.05,159.36,-147.95,60.0,-115.0,25.13
3,flag_hold_prev_high=break_prev_high & flag_pullback_vol_weak=pullback_vol_weak & time_bucket_15m=08:45-09:00,39,82.05,161.92,-139.87,130.0,-105.0,13.59
2,flag_pullback_vol_weak=pullback_vol_weak & time_bucket_15m=08:45-09:00,61,81.97,173.85,-158.85,130.0,-110.0,21.23
3,cat_dist_ma20=far_below & cat_bb_ratio=bb_mid & cat_prev_day_change=prev_big_down,72,81.94,160.42,-144.79,97.5,-112.5,28.89
3,flag_hold_prev_low=break_prev_low & flag_pullback_vol_weak=pullback_vol_weak & time_bucket_15m=08:45-09:00,33,81.82,206.82,-171.82,160.0,-115.0,28.18
3,flag_pullback_2bar=no_pullback_2bar & flag_pullback_vol_weak=pullback_vol_weak & time_bucket_15m=08:45-09:00,55,81.82,178.73,-159.0,130.0,-110.0,19.09
3,cat_dist_ma20=far_below & flag_bull=bull & time_bucket_15m=09:00-09:15,33,81.82,154.09,-160.0,85.0,-140.0,7.73
3,cat_dist_ma20=far_above & cat_prev_day_change=prev_big_down & time_bucket_15m=09:15-09:30,33,81.82,126.67,-138.03,80.0,-110.0,1.97
3,cat_dist_ma20=far_above & cat_atr_ratio=atr_mid & cat_bb_ratio=bb_squeeze,170,81.76,126.12,-114.06,75.0,-90.0,18.03
3,flag_break_prev_high=break_prev_high & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:45-16:00,109,81.65,-314.77,-441.74,-270.0,-360.0,-377.34
3,flag_hold_prev_high=break_prev_high & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:45-16:00,109,81.65,-314.77,-441.74,-270.0,-360.0,-377.34
3,cat_dist_ma20=far_above & cat_bb_ratio=bb_expand & time_bucket_15m=23:00-23:15,38,81.58,162.37,-146.05,60.0,-112.5,30.13
3,cat_dist_ma20=far_above & flag_break_prev_low=no_break_prev_low & time_bucket_15m=23:00-23:15,38,81.58,160.26,-148.55,60.0,-112.5,24.61
3,cat_dist_ma20=far_below & cat_gap=gap_up & time_bucket_15m=09:30-09:45,38,81.58,76.32,-97.89,65.0,-70.0,-17.5
3,cat_vol_ratio=vol_low & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:45-16:00,97,81.44,-394.79,-544.79,-305.0,-480.0,-465.36
3,cat_dist_ma20=far_above & cat_bb_ratio=bb_squeeze & cat_body_ratio=body_small,70,81.43,112.93,-106.71,52.5,-85.0,6.5
3,cat_dist_ma20=far_above & cat_atr_ratio=atr_high & time_bucket_15m=08:45-09:00,70,81.43,145.21,-139.14,100.0,-102.5,0.29
3,cat_dist_ma20=far_below & cat_bb_ratio=bb_expand & time_bucket_15m=13:00-13:15,43,81.4,94.42,-148.02,70.0,-95.0,-42.67
3,cat_dist_ma20=far_above & cat_gap=gap_up & time_bucket_15m=08:45-09:00,43,81.4,129.53,-191.74,75.0,-135.0,-43.37
3,cat_atr_ratio=atr_high & time_bucket_15m=08:45-09:00 & weekday=Monday,182,81.32,114.51,-139.86,65.0,-105.0,-13.41
3,cat_rsi=rsi_midhigh & cat_vol_ratio=vol_normal & time_bucket_15m=09:15-09:30,32,81.25,46.41,-64.22,35.0,-60.0,-13.75
3,cat_rsi=rsi_low & cat_bb_ratio=bb_mid & time_bucket_15m=08:45-09:00,69,81.16,70.29,-110.22,40.0,-85.0,-39.71
3,cat_body_ratio=body_small & time_bucket_15m=08:45-09:00 & weekday=Friday,106,81.13,91.18,-105.14,70.0,-82.5,-8.35
3,cat_dist_ma20=far_below & cat_gap=gap_down & time_bucket_15m=23:15-23:30,53,81.13,85.19,-116.7,65.0,-90.0,-46.79
3,cat_gap=gap_down & flag_pullback_vol_weak=pullback_vol_weak & time_bucket_15m=08:45-09:00,37,81.08,183.38,-166.49,130.0,-130.0,18.92
3,cat_rsi=rsi_midlow & cat_prev_day_change=prev_big_down & time_bucket_15m=08:45-09:00,37,81.08,99.19,-107.84,85.0,-85.0,-21.89
3,cat_dist_ma20=far_above & flag_pullback_vol_weak=pullback_vol_not_weak & time_bucket_15m=10:00-10:15,37,81.08,85.14,-111.08,80.0,-90.0,-22.3
3,flag_pullback_2bar=pullback_2bar & time_bucket_15m=08:45-09:00 & weekday=Friday,169,81.07,94.08,-112.81,70.0,-95.0,-10.95
3,cat_dist_ma20=far_below & flag_bull=bull & time_bucket_15m=09:45-10:00,42,80.95,102.5,-119.64,95.0,-92.5,-10.12
3,cat_dist_ma20=far_below & cat_vol_ratio=vol_spike & cat_bb_ratio=bb_squeeze,42,80.95,105.71,-137.26,85.0,-97.5,-30.83
3,cat_prev_day_change=prev_big_down & flag_hold_prev_high=hold_prev_high & time_bucket_15m=08:45-09:00,136,80.88,104.12,-143.16,72.5,-100.0,-34.52
3,cat_dist_ma20=far_below & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=23:00-23:15,47,80.85,85.21,-105.0,85.0,-90.0,-11.7
3,cat_atr_ratio=atr_high & cat_prev_day_change=prev_up & time_bucket_15m=08:45-09:00,151,80.79,86.06,-121.26,60.0,-95.0,-26.82
3,cat_dist_ma20=far_above & cat_body_ratio=body_small & time_bucket_15m=08:45-09:00,31,80.65,148.06,-140.97,120.0,-95.0,23.23
3,cat_dist_ma20=far_above & cat_bb_ratio=bb_squeeze & cat_prev_day_change=prev_big_down,155,80.65,109.06,-115.42,75.0,-90.0,-8.81
3,cat_dist_ma20=near_below & time_bucket_15m=08:45-09:00 & weekday=Friday,186,80.65,82.07,-102.18,70.0,-85.0,-10.91
3,flag_break_prev_low=no_break_prev_low & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:45-16:00,129,80.62,-301.16,-424.88,-240.0,-340.0,-361.36
3,flag_hold_prev_low=hold_prev_low & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:45-16:00,129,80.62,-301.16,-424.88,-240.0,-340.0,-361.36
3,cat_dist_ma20=far_above & cat_atr_ratio=atr_low & time_bucket_15m=10:30-10:45,36,80.56,60.83,-103.33,50.0,-82.5,-42.5
3,cat_dist_ma20=far_below & cat_vol_ratio=vol_normal & time_bucket_15m=09:45-10:00,46,80.43,105.43,-117.93,85.0,-95.0,-7.28
3,cat_dist_ma20=far_below & flag_hold_prev_low=break_prev_low & time_bucket_15m=23:00-23:15,46,80.43,97.83,-107.72,85.0,-87.5,-9.78
3,flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:45-16:00 & weekday=Thursday,46,80.43,-225.65,-350.11,-295.0,-382.5,-289.89
3,cat_dist_ma20=far_above & cat_bb_ratio=bb_squeeze & flag_pullback_vol_weak=pullback_vol_not_weak,97,80.41,138.14,-118.87,70.0,-90.0,15.31
3,cat_prev_day_change=prev_up & time_bucket_15m=08:45-09:00 & weekday=Monday,66,80.3,83.64,-134.47,72.5,-90.0,-31.52
3,flag_pullback_2bar=pullback_2bar & time_bucket_15m=08:45-09:00 & weekday=Monday,162,80.25,86.85,-132.07,57.5,-100.0,-22.93
3,cat_bb_ratio=bb_mid & flag_pullback_2bar=pullback_2bar & time_bucket_15m=08:45-09:00,106,80.19,65.75,-111.65,55.0,-85.0,-42.45
3,cat_dist_ma20=far_below & cat_rsi=rsi_midlow & cat_vol_ratio=vol_normal,35,80.0,156.57,-152.86,100.0,-110.0,14.86
3,cat_dist_ma20=far_below & flag_break_prev_high=no_break_prev_high & time_bucket_15m=23:00-23:15,55,80.0,91.55,-114.27,85.0,-100.0,-17.64
3,cat_bb_ratio=bb_mid & cat_prev_day_change=prev_down & time_bucket_15m=09:00-09:15,35,80.0,66.43,-91.0,45.0,-70.0,-19.57
3,cat_dist_ma20=far_above & cat_prev_day_change=prev_up & time_bucket_15m=09:00-09:15,35,80.0,104.86,-110.71,75.0,-80.0,-23.0
3,cat_trend=trend_mixed & cat_dist_ma20=far_above & flag_above_prev_day_close=below_prev_day_close,40,80.0,120.0,-130.0,85.0,-100.0,-24.38
3,cat_prev_day_change=prev_big_down & flag_break_prev_high=no_break_prev_high & time_bucket_15m=08:45-09:00,195,80.0,101.08,-136.95,75.0,-100.0,-31.59
3,cat_dist_ma20=far_below & cat_body_ratio=body_small & time_bucket_15m=09:00-09:15,40,80.0,90.25,-153.12,52.5,-90.0,-37.75
3,cat_dist_ma20=far_above & cat_gap=gap_down & time_bucket_15m=10:30-10:45,30,80.0,74.17,-94.67,52.5,-87.5,-38.67
3,cat_trend=trend_mixed & time_bucket_15m=09:15-09:30 & weekday=Wednesday,30,80.0,41.5,-105.83,27.5,-72.5,-51.0
3,cat_bb_ratio=bb_mid & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:45-16:00,35,80.0,-246.14,-398.0,-180.0,-325.0,-315.71
3,cat_rsi=rsi_midlow & flag_hold_prev_high=break_prev_high & time_bucket_15m=09:00-09:15,139,79.86,70.68,-83.6,45.0,-65.0,-6.83
3,cat_rsi=rsi_low & time_bucket_15m=08:45-09:00 & weekday=Friday,129,79.84,82.71,-106.09,65.0,-90.0,-15.5
3,cat_dist_ma20=far_below & flag_break_prev_low=no_break_prev_low & time_bucket_15m=09:45-10:00,69,79.71,100.07,-116.16,80.0,-95.0,-15.87
3,cat_prev_day_change=prev_big_down & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=08:45-09:00,123,79.67,114.19,-135.04,75.0,-100.0,-27.2
3,cat_dist_ma20=far_below & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=09:00-09:15,118,79.66,133.09,-140.3,77.5,-100.0,13.52
3,cat_dist_ma20=far_above & cat_vol_ratio=vol_high & cat_bb_ratio=bb_squeeze,54,79.63,106.48,-136.94,75.0,-90.0,-11.11
3,flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=08:45-09:00 & weekday=Friday,211,79.62,100.83,-105.78,75.0,-85.0,10.19
3,flag_hold_prev_high=hold_prev_high & time_bucket_15m=08:45-09:00 & weekday=Friday,211,79.62,87.42,-101.59,70.0,-85.0,-6.23
3,cat_dist_ma20=far_above & cat_bb_ratio=bb_squeeze & weekday=Monday,93,79.57,87.58,-97.74,75.0,-80.0,-14.78
3,flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:45-16:00 & weekday=Tuesday,44,79.55,-255.91,-391.48,-142.5,-250.0,-316.7
3,cat_dist_ma20=far_below & cat_prev_day_change=prev_big_down & time_bucket_15m=09:00-09:15,39,79.49,170.77,-188.08,110.0,-135.0,33.08
3,cat_dist_ma20=far_below & flag_break_prev_low=break_prev_low & time_bucket_15m=23:00-23:15,39,79.49,101.28,-98.08,85.0,-80.0,1.92
3,cat_trend=trend_down & time_bucket_15m=08:45-09:00 & weekday=Friday,151,79.47,84.54,-114.04,65.0,-95.0,-19.83
3,cat_trend=trend_mixed & time_bucket_15m=08:45-09:00 & weekday=Friday,73,79.45,86.92,-83.22,75.0,-65.0,13.15
3,cat_prev_day_change=prev_big_down & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=09:00-09:15,131,79.39,123.4,-133.21,65.0,-90.0,2.79
3,cat_rsi=rsi_midlow & time_bucket_15m=08:45-09:00 & weekday=Friday,63,79.37,82.62,-116.83,70.0,-90.0,-17.86
3,cat_gap=gap_flat & cat_prev_day_change=prev_big_down & time_bucket_15m=09:00-09:15,63,79.37,64.37,-105.16,55.0,-75.0,-32.22
3,cat_dist_ma20=far_above & cat_bb_ratio=bb_mid & cat_prev_day_change=prev_big_down,92,79.35,131.14,-121.96,60.0,-100.0,10.05
3,cat_dist_ma20=far_below & cat_gap=gap_down & time_bucket_15m=23:30-23:45,58,79.31,86.98,-110.86,65.0,-95.0,-30.17
3,cat_atr_ratio=atr_high & flag_pullback_2bar=pullback_2bar & time_bucket_15m=08:45-09:00,309,79.29,99.29,-120.32,70.0,-90.0,-12.33
3,cat_trend=trend_mixed & cat_gap=gap_flat & time_bucket_15m=08:45-09:00,82,79.27,68.9,-70.3,57.5,-60.0,-3.78
3,cat_dist_ma20=far_above & cat_bb_ratio=bb_squeeze & flag_above_prev_day_close=below_prev_day_close,173,79.19,132.11,-114.57,80.0,-90.0,17.54
3,cat_dist_ma20=far_above & cat_bb_ratio=bb_mid & flag_pullback_vol_weak=pullback_vol_not_weak,72,79.17,125.83,-141.88,60.0,-85.0,-8.4
3,cat_dist_ma20=far_below & flag_hold_prev_high=hold_prev_high & time_bucket_15m=23:00-23:15,48,79.17,91.25,-105.42,85.0,-82.5,-14.79
3,cat_dist_ma20=far_below & cat_bb_ratio=bb_squeeze & cat_prev_day_change=prev_up,72,79.17,90.76,-118.82,75.0,-100.0,-26.74
3,cat_rsi=rsi_high & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:45-16:00,72,79.17,-342.36,-458.82,-222.5,-317.5,-405.35
3,cat_dist_ma20=far_above & flag_pullback_vol_weak=pullback_vol_weak & time_bucket_15m=10:30-10:45,43,79.07,92.09,-81.16,55.0,-60.0,1.16
3,cat_dist_ma20=far_above & cat_vol_ratio=vol_spike & time_bucket_15m=08:45-09:00,105,79.05,131.19,-145.14,90.0,-100.0,-12.57
3,flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=08:45-09:00 & weekday=Monday,200,79.0,114.68,-116.18,65.0,-90.0,1.6
3,cat_dist_ma20=far_below & cat_vol_ratio=vol_normal & cat_bb_ratio=bb_mid,57,78.95,86.93,-134.3,55.0,-110.0,-38.68
