feature,value,n,strong_up_rate_pct,strong_down_rate_pct,edge_up_minus_down
cat_dist_ma20,far_below,7095,39.77,35.7,4.07
time_bucket_15m,05:15-05:30,2073,36.18,32.71,3.47
time_bucket_15m,22:00-22:15,2073,26.58,23.73,2.85
time_bucket_15m,06:00-06:15,691,52.24,50.22,2.03
time_bucket_15m,10:00-10:15,2070,33.33,31.69,1.64
time_bucket_15m,13:45-14:00,2070,19.81,18.36,1.45
time_bucket_15m,23:45-24:00,2070,46.71,45.46,1.26
time_bucket_15m,05:45-06:00,2073,49.69,48.43,1.25
time_bucket_15m,23:15-23:30,2070,51.84,50.63,1.21
time_bucket_15m,05:30-05:45,2073,45.1,43.99,1.11
time_bucket_15m,13:30-13:45,2070,18.99,17.87,1.11
time_bucket_15m,05:00-05:15,2073,19.15,18.19,0.96
time_bucket_15m,11:00-11:15,2070,17.39,16.57,0.82
time_bucket_15m,14:00-14:15,2070,21.26,20.48,0.77
time_bucket_15m,21:30-21:45,2073,17.08,16.35,0.72
time_bucket_15m,16:30-16:45,990,13.13,12.42,0.71
time_bucket_15m,10:15-10:30,2070,30.58,29.95,0.63
time_bucket_15m,16:45-17:00,990,12.83,12.22,0.61
time_bucket_15m,03:15-03:30,2073,13.07,12.59,0.48
time_bucket_15m,09:45-10:00,2070,34.15,33.72,0.43
cat_gap,gap_up,67282,21.74,21.34,0.4
flag_above_prev_day_close,below_prev_day_close,79253,24.43,24.06,0.37
time_bucket_15m,23:00-23:15,2070,52.27,52.17,0.1
time_bucket_15m,21:45-22:00,2073,20.5,20.45,0.05
cat_trend,trend_down,65641,24.07,24.12,-0.05
time_bucket_15m,11:30-11:45,2070,15.46,15.6,-0.14
time_bucket_15m,21:00-21:15,2073,14.71,14.86,-0.14
time_bucket_15m,21:15-21:30,2073,14.13,14.33,-0.19
cat_rsi,rsi_low,47824,24.3,24.51,-0.2
cat_prev_day_change,prev_up,34122,19.42,19.72,-0.3
time_bucket_15m,20:30-20:45,2073,13.99,14.33,-0.34
time_bucket_15m,12:30-12:45,2070,22.08,22.46,-0.39
time_bucket_15m,23:30-23:45,2070,49.18,49.61,-0.43
cat_rsi,rsi_midlow,34717,21.78,22.23,-0.46
time_bucket_15m,09:00-09:15,2070,43.38,43.86,-0.48
flag_break_prev_low,break_prev_low,34707,24.78,25.34,-0.56
time_bucket_15m,19:45-20:00,2073,8.68,9.31,-0.63
time_bucket_15m,12:45-13:00,2070,19.28,19.95,-0.68
time_bucket_15m,04:45-05:00,2073,9.12,9.89,-0.77
cat_dist_ma20,near_below,73115,21.83,22.62,-0.78
time_bucket_15m,04:00-04:15,2073,13.07,13.89,-0.82
time_bucket_15m,03:00-03:15,2073,12.49,13.31,-0.82
weekday,Thursday,33638,22.73,23.56,-0.83
cat_prev_day_change,prev_down,38478,20.98,21.84,-0.86
time_bucket_15m,19:30-19:45,2073,8.97,9.84,-0.87
cat_bb_ratio,bb_expand,71719,25.76,26.67,-0.91
cat_atr_ratio,atr_high,52742,28.04,28.96,-0.92
time_bucket_15m,13:15-13:30,2070,17.39,18.31,-0.92
time_bucket_15m,00:15-00:30,2073,19.25,20.21,-0.96
weekday,Wednesday,33638,21.48,22.5,-1.01
time_bucket_15m,14:15-14:30,2070,29.28,30.34,-1.06
cat_vol_ratio,vol_normal,41976,22.75,23.83,-1.07
time_bucket_15m,22:15-22:30,2073,27.01,28.12,-1.11
flag_hold_prev_low,break_prev_low,67749,23.77,24.9,-1.13
weekday,Monday,32573,22.45,23.61,-1.16
time_bucket_15m,00:30-00:45,2073,17.99,19.15,-1.16
flag_break_prev_high,no_break_prev_high,130163,21.85,23.04,-1.19
time_bucket_15m,20:45-21:00,2073,13.94,15.15,-1.21
cat_vol_ratio,vol_spike,14392,34.42,35.64,-1.22
time_bucket_15m,09:30-09:45,2070,36.23,37.49,-1.26
flag_hold_prev_high,hold_prev_high,97155,21.58,22.84,-1.26
cat_prev_day_change,prev_flat,37026,19.03,20.29,-1.26
cat_body_ratio,body_mid,58697,21.14,22.45,-1.31
flag_pullback_vol_weak,pullback_vol_not_weak,59279,27.21,28.54,-1.32
time_bucket_15m,11:45-12:00,2070,18.7,20.05,-1.35
flag_bull,not_bull,92398,21.93,23.29,-1.36
cat_body_ratio,body_small,32938,26.0,27.38,-1.38
flag_pullback_2bar,pullback_2bar,113034,22.52,23.91,-1.39
time_bucket_15m,09:15-09:30,2070,39.32,40.72,-1.4
cat_atr_ratio,atr_mid,83008,19.75,21.15,-1.4
time_bucket_15m,00:45-01:00,2073,16.5,17.9,-1.4
time_bucket_15m,11:15-11:30,2070,11.55,12.95,-1.4
flag_pullback_2bar,no_pullback_2bar,54097,20.45,21.89,-1.44
flag_pullback_vol_weak,pullback_vol_weak,107852,18.9,20.36,-1.45
flag_bull,bull,74733,21.75,23.22,-1.47
cat_vol_ratio,vol_high,27819,26.29,27.79,-1.5
time_bucket_15m,04:15-04:30,2073,11.43,12.93,-1.5
cat_body_ratio,body_large,55274,21.4,22.91,-1.51
weekday,Tuesday,33644,20.14,21.65,-1.51
time_bucket_15m,00:00-00:15,2073,20.94,22.48,-1.54
cat_trend,trend_mixed,29151,20.48,22.02,-1.54
time_bucket_15m,02:45-03:00,2073,12.78,14.33,-1.54
cat_vol_ratio,vol_low,82025,17.44,19.0,-1.56
time_bucket_15m,04:30-04:45,2073,10.56,12.16,-1.59
cat_bb_ratio,bb_mid,21015,21.99,23.59,-1.6
flag_hold_prev_low,hold_prev_low,99382,20.54,22.14,-1.6
flag_hold_prev_high,break_prev_high,69976,22.23,23.85,-1.62
flag_break_prev_low,no_break_prev_low,132424,21.08,22.71,-1.63
