metric,all_mean,strong_up_mean,diff
dist_ma20_pct,0.0031,-0.032,-0.0351
rsi14,50.8753,49.132,-1.7433
vol_ratio,1.0538,1.3128,0.2589
atr_ratio,0.9961,1.0255,0.0293
bb_ratio,1.0841,1.2109,0.1268
body_ratio,0.4706,0.4677,-0.003
prev_day_change_pct,0.0819,-0.0495,-0.1314
up_move_6,62.25,183.722,121.472
down_move_6,-64.0023,-46.0807,17.9216
close_move_6,0.7378,111.0649,110.3271
