combo_size,condition,n,hit_rate_pct,avg_up_move,avg_down_move,median_up_move,median_down_move,avg_close_move
3,cat_gap=gap_down & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:45-16:00,31,100.0,-592.9,-783.23,-405.0,-590.0,-705.48
3,cat_gap=gap_down & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:30-15:45,80,98.75,24.94,-804.81,20.0,-615.0,-729.25
3,flag_pullback_vol_weak=pullback_vol_weak & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=08:45-09:00,40,90.0,267.88,-217.88,262.5,-160.0,45.25
3,flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:30-15:45 & weekday=Monday,83,87.95,38.92,-715.84,20.0,-395.0,-635.72
3,flag_break_prev_high=no_break_prev_high & flag_pullback_vol_weak=pullback_vol_weak & time_bucket_15m=08:45-09:00,32,87.5,282.03,-263.91,235.0,-205.0,34.06
3,flag_hold_prev_high=break_prev_high & flag_pullback_vol_weak=pullback_vol_weak & time_bucket_15m=08:45-09:00,39,87.18,240.26,-190.0,175.0,-145.0,38.85
3,cat_gap=gap_down & flag_pullback_vol_weak=pullback_vol_weak & time_bucket_15m=08:45-09:00,37,86.49,253.38,-235.41,180.0,-175.0,11.22
3,flag_break_prev_high=break_prev_high & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:30-15:45,117,85.47,57.18,-644.23,25.0,-455.0,-547.86
3,flag_pullback_2bar=no_pullback_2bar & flag_pullback_vol_weak=pullback_vol_weak & time_bucket_15m=08:45-09:00,55,85.45,253.09,-223.18,180.0,-160.0,28.27
3,cat_rsi=rsi_midhigh & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:45-16:00,34,85.29,-356.18,-494.71,-205.0,-335.0,-417.65
2,flag_pullback_vol_weak=pullback_vol_weak & time_bucket_15m=08:45-09:00,61,85.25,252.3,-217.46,180.0,-150.0,40.74
3,cat_vol_ratio=vol_spike & flag_pullback_vol_weak=pullback_vol_weak & time_bucket_15m=08:45-09:00,53,84.91,243.02,-212.45,175.0,-145.0,45.85
