feature,value,n,hit_rate_pct,avg_up_move,avg_down_move,median_up_move,median_down_move,avg_close_move
time_bucket_15m,14:15-14:30,2070,30.34,124.82,-130.55,70.0,-70.0,-5.5
time_bucket_15m,10:15-10:30,2070,29.95,97.46,-98.47,75.0,-70.0,1.05
time_bucket_15m,22:30-22:45,2073,29.57,94.58,-103.78,65.0,-70.0,-1.3
time_bucket_15m,22:45-23:00,2073,29.28,96.78,-104.83,65.0,-70.0,-0.22
cat_atr_ratio,atr_high,52742,28.96,114.98,-116.72,65.0,-65.0,4.55
flag_pullback_vol_weak,pullback_vol_not_weak,59279,28.54,112.74,-118.07,60.0,-60.0,0.19
time_bucket_15m,22:15-22:30,2073,28.12,94.05,-98.04,65.0,-65.0,0.15
cat_vol_ratio,vol_high,27819,27.79,110.92,-118.04,60.0,-60.0,-0.82
cat_gap,gap_down,62678,27.52,106.64,-109.44,55.0,-60.0,2.77
time_bucket_15m,10:30-10:45,2070,27.49,87.94,-92.85,65.0,-65.0,-2.1
cat_body_ratio,body_small,32938,27.38,107.39,-110.9,60.0,-60.0,1.43
cat_bb_ratio,bb_expand,71719,26.67,105.75,-109.17,60.0,-60.0,1.9
cat_prev_day_change,prev_big_up,32912,25.89,99.09,-102.4,55.0,-55.0,1.48
flag_break_prev_low,break_prev_low,34707,25.34,103.38,-103.69,60.0,-55.0,5.26
weekday,Friday,33638,24.99,92.68,-99.73,55.0,-55.0,-1.92
flag_hold_prev_low,break_prev_low,67749,24.9,100.53,-102.33,55.0,-55.0,3.45
cat_rsi,rsi_low,47824,24.51,102.49,-99.95,60.0,-55.0,8.44
time_bucket_15m,12:15-12:30,2070,24.4,82.63,-92.88,65.0,-65.0,-4.8
cat_trend,trend_down,65641,24.12,102.51,-98.07,60.0,-55.0,9.61
flag_above_prev_day_close,below_prev_day_close,79253,24.06,108.36,-94.65,60.0,-55.0,17.36
flag_break_prev_high,break_prev_high,36968,24.04,93.79,-100.07,55.0,-55.0,-1.6
flag_pullback_2bar,pullback_2bar,113034,23.91,97.28,-99.27,55.0,-55.0,2.73
flag_hold_prev_high,break_prev_high,69976,23.85,95.19,-99.76,55.0,-55.0,-0.14
cat_vol_ratio,vol_normal,41976,23.83,99.95,-101.57,55.0,-55.0,2.7
time_bucket_15m,22:00-22:15,2073,23.73,89.1,-89.81,60.0,-60.0,1.84
weekday,Monday,32573,23.61,101.52,-101.09,55.0,-50.0,4.98
cat_bb_ratio,bb_mid,21015,23.59,98.06,-100.13,55.0,-55.0,1.3
weekday,Thursday,33638,23.56,95.22,-99.86,55.0,-55.0,-0.06
flag_bull,not_bull,92398,23.29,94.46,-97.17,55.0,-50.0,2.28
flag_bull,bull,74733,23.22,94.14,-97.72,55.0,-55.0,0.48
time_bucket_15m,12:00-12:15,2070,23.14,80.62,-88.18,60.0,-60.0,-2.9
cat_rsi,rsi_high,52306,23.05,88.05,-99.63,50.0,-55.0,-6.98
flag_break_prev_high,no_break_prev_high,130163,23.04,94.46,-96.66,55.0,-50.0,2.35
cat_trend,trend_up,72339,22.98,89.19,-99.09,50.0,-55.0,-5.62
cat_body_ratio,body_large,55274,22.91,94.4,-96.41,55.0,-55.0,2.42
cat_rsi,rsi_midhigh,32218,22.86,92.96,-95.92,50.0,-50.0,0.29
flag_hold_prev_high,hold_prev_high,97155,22.84,93.68,-95.72,55.0,-50.0,2.64
flag_break_prev_low,no_break_prev_low,132424,22.71,91.94,-95.77,50.0,-50.0,0.48
cat_dist_ma20,near_below,73115,22.62,93.72,-92.86,55.0,-50.0,5.49
flag_above_prev_day_close,above_prev_day_close,87878,22.53,81.64,-99.91,50.0,-50.0,-12.85
time_bucket_15m,10:45-11:00,2070,22.51,76.51,-85.48,55.0,-60.0,-2.07
weekday,Wednesday,33638,22.5,94.53,-93.05,55.0,-50.0,5.76
time_bucket_15m,00:00-00:15,2073,22.48,80.71,-86.83,60.0,-55.0,1.36
time_bucket_15m,12:30-12:45,2070,22.46,78.05,-85.29,60.0,-60.0,-3.64
cat_body_ratio,body_mid,58697,22.45,91.81,-95.02,55.0,-55.0,1.57
cat_rsi,rsi_midlow,34717,22.23,93.84,-91.91,50.0,-50.0,5.79
flag_hold_prev_low,hold_prev_low,99382,22.14,90.08,-94.06,50.0,-50.0,0.13
cat_trend,trend_mixed,29151,22.02,88.59,-91.78,50.0,-50.0,0.77
flag_pullback_2bar,no_pullback_2bar,54097,21.89,88.12,-93.53,50.0,-50.0,-1.14
cat_dist_ma20,near_above,80305,21.86,86.54,-94.05,50.0,-50.0,-3.8
cat_prev_day_change,prev_down,38478,21.84,89.49,-92.04,50.0,-50.0,1.61
weekday,Tuesday,33644,21.65,87.86,-93.46,50.0,-50.0,-1.26
cat_gap,gap_up,67282,21.34,90.52,-94.55,55.0,-50.0,-0.19
cat_atr_ratio,atr_mid,83008,21.15,89.15,-91.68,50.0,-50.0,0.97
time_bucket_15m,14:00-14:15,2070,20.48,83.44,-79.71,60.0,-55.0,5.27
time_bucket_15m,21:45-22:00,2073,20.45,79.47,-77.99,60.0,-55.0,2.45
flag_pullback_vol_weak,pullback_vol_weak,107852,20.36,84.19,-86.06,50.0,-50.0,2.18
cat_prev_day_change,prev_flat,37026,20.29,83.03,-87.07,50.0,-50.0,0.2
time_bucket_15m,00:15-00:30,2073,20.21,78.12,-81.27,55.0,-55.0,5.11
time_bucket_15m,11:45-12:00,2070,20.05,75.9,-80.43,57.5,-55.0,-2.06
time_bucket_15m,13:00-13:15,2070,20.0,69.55,-78.29,55.0,-50.0,-1.43
time_bucket_15m,12:45-13:00,2070,19.95,72.16,-79.33,55.0,-55.0,-3.96
cat_bb_ratio,bb_squeeze,74359,19.88,82.27,-85.34,50.0,-50.0,1.12
cat_prev_day_change,prev_up,34122,19.72,85.8,-87.21,50.0,-50.0,1.83
cat_gap,gap_flat,36929,19.61,80.65,-82.47,45.0,-45.0,2.34
cat_atr_ratio,atr_low,31362,19.27,73.27,-80.16,45.0,-50.0,-2.35
time_bucket_15m,00:30-00:45,2073,19.15,73.82,-78.17,55.0,-50.0,2.8
cat_vol_ratio,vol_low,82025,19.0,79.14,-81.25,50.0,-50.0,1.8
time_bucket_15m,17:00-17:15,2073,18.38,72.33,-75.16,50.0,-50.0,1.55
time_bucket_15m,13:45-14:00,2070,18.36,79.61,-76.32,60.0,-50.0,5.69
time_bucket_15m,13:15-13:30,2070,18.31,70.25,-75.97,50.0,-50.0,2.44
time_bucket_15m,05:00-05:15,2073,18.19,82.17,-80.93,45.0,-40.0,1.64
time_bucket_15m,01:15-01:30,2073,18.09,65.67,-74.81,45.0,-50.0,-3.25
time_bucket_15m,00:45-01:00,2073,17.9,70.14,-74.45,50.0,-45.0,1.92
time_bucket_15m,13:30-13:45,2070,17.87,74.59,-75.51,55.0,-50.0,4.61
time_bucket_15m,01:30-01:45,2073,17.75,64.59,-73.5,45.0,-50.0,-1.05
time_bucket_15m,01:45-02:00,2073,17.7,63.65,-72.3,40.0,-50.0,1.1
time_bucket_15m,02:00-02:15,2073,17.61,66.22,-70.38,45.0,-45.0,3.53
time_bucket_15m,02:15-02:30,2073,17.37,66.71,-67.98,45.0,-40.0,4.99
time_bucket_15m,17:15-17:30,2073,17.27,68.78,-70.77,45.0,-45.0,1.34
time_bucket_15m,01:00-01:15,2073,16.84,68.95,-71.83,50.0,-45.0,-0.18
time_bucket_15m,11:00-11:15,2070,16.57,71.18,-71.33,55.0,-50.0,2.66
time_bucket_15m,21:30-21:45,2073,16.35,72.72,-68.27,50.0,-45.0,6.56
time_bucket_15m,02:30-02:45,2073,16.06,64.65,-65.01,45.0,-40.0,6.64
time_bucket_15m,11:30-11:45,2070,15.6,69.64,-70.32,50.0,-50.0,-0.26
time_bucket_15m,17:30-17:45,2073,15.48,64.26,-66.8,45.0,-45.0,-0.92
time_bucket_15m,20:45-21:00,2073,15.15,65.46,-69.5,40.0,-45.0,1.06
time_bucket_15m,21:00-21:15,2073,14.86,66.38,-68.02,40.0,-45.0,2.26
time_bucket_15m,03:45-04:00,2073,14.38,61.56,-63.2,40.0,-40.0,4.7
time_bucket_15m,02:45-03:00,2073,14.33,62.0,-62.77,40.0,-40.0,4.81
time_bucket_15m,21:15-21:30,2073,14.33,66.31,-66.64,40.0,-45.0,4.72
time_bucket_15m,20:30-20:45,2073,14.33,62.64,-67.57,40.0,-40.0,-1.99
time_bucket_15m,17:45-18:00,2073,13.94,59.35,-66.34,40.0,-40.0,-4.12
time_bucket_15m,04:00-04:15,2073,13.89,63.42,-61.99,45.0,-40.0,4.14
time_bucket_15m,18:00-18:15,2073,13.65,56.25,-65.28,40.0,-40.0,-3.59
time_bucket_15m,03:30-03:45,2073,13.46,59.31,-61.93,40.0,-40.0,2.22
time_bucket_15m,03:00-03:15,2073,13.31,62.33,-60.08,45.0,-35.0,4.92
time_bucket_15m,11:15-11:30,2070,12.95,61.32,-62.89,45.0,-50.0,1.01
time_bucket_15m,04:15-04:30,2073,12.93,61.38,-60.44,40.0,-40.0,1.56
time_bucket_15m,18:15-18:30,2073,12.88,53.72,-61.21,40.0,-40.0,-2.31
time_bucket_15m,03:15-03:30,2073,12.59,61.57,-59.08,40.0,-35.0,5.8
time_bucket_15m,16:30-16:45,990,12.42,66.36,-63.53,50.0,-40.0,5.47
time_bucket_15m,16:45-17:00,990,12.22,62.95,-62.46,45.0,-40.0,4.19
time_bucket_15m,04:30-04:45,2073,12.16,58.99,-57.67,40.0,-35.0,0.83
time_bucket_15m,18:30-18:45,2073,11.1,53.37,-58.24,40.0,-35.0,-0.28
time_bucket_15m,20:15-20:30,2073,11.0,51.41,-60.32,35.0,-35.0,-4.86
time_bucket_15m,19:00-19:15,2073,10.81,54.89,-54.33,40.0,-35.0,5.48
time_bucket_15m,19:15-19:30,2073,10.66,56.37,-53.22,35.0,-35.0,5.68
time_bucket_15m,18:45-19:00,2073,10.03,52.68,-54.42,35.0,-35.0,2.19
time_bucket_15m,04:45-05:00,2073,9.89,51.38,-54.64,35.0,-35.0,-1.09
time_bucket_15m,20:00-20:15,2073,9.89,52.21,-57.59,35.0,-35.0,-3.01
time_bucket_15m,19:30-19:45,2073,9.84,56.29,-52.14,35.0,-35.0,3.65
time_bucket_15m,19:45-20:00,2073,9.31,55.64,-53.57,35.0,-35.0,2.02
