feature,value,n,hit_rate_pct,avg_up_move,avg_down_move,median_up_move,median_down_move,avg_close_move
time_bucket_15m,15:15-15:30,1412,53.54,220.67,-261.23,110.0,-135.0,-32.78
time_bucket_15m,15:00-15:15,2070,53.0,238.51,-273.85,100.0,-130.0,-29.39
time_bucket_15m,23:00-23:15,2070,52.17,278.78,-264.26,130.0,-125.0,28.67
time_bucket_15m,23:15-23:30,2070,50.63,282.3,-267.45,130.0,-120.0,28.5
time_bucket_15m,06:00-06:15,691,50.22,165.54,-154.12,125.0,-120.0,6.3
time_bucket_15m,08:45-09:00,2070,49.86,154.47,-157.14,110.0,-115.0,2.36
time_bucket_15m,23:30-23:45,2070,49.61,278.42,-264.43,115.0,-115.0,29.34
time_bucket_15m,15:30-15:45,1083,49.22,263.03,-304.09,80.0,-115.0,-35.75
time_bucket_15m,15:45-16:00,361,49.03,53.96,-139.82,40.0,-105.0,-38.27
time_bucket_15m,14:45-15:00,2070,48.55,213.71,-237.55,90.0,-110.0,-19.05
time_bucket_15m,05:45-06:00,2073,48.43,170.86,-166.79,115.0,-110.0,5.97
time_bucket_15m,23:45-24:00,2070,45.46,219.26,-191.76,95.0,-85.0,30.43
time_bucket_15m,05:30-05:45,2073,43.99,159.09,-154.27,100.0,-100.0,4.77
time_bucket_15m,09:00-09:15,2070,43.86,133.9,-137.06,100.0,-100.0,2.92
time_bucket_15m,09:15-09:30,2070,40.72,119.96,-122.52,90.0,-95.0,3.79
time_bucket_15m,14:30-14:45,2070,38.31,151.65,-162.25,80.0,-85.0,-8.82
time_bucket_15m,09:30-09:45,2070,37.49,113.96,-117.44,85.0,-90.0,5.64
cat_dist_ma20,far_below,7095,35.7,162.52,-144.55,90.0,-75.0,27.89
cat_vol_ratio,vol_spike,14392,35.64,127.73,-131.9,75.0,-75.0,1.29
cat_dist_ma20,far_above,6597,34.05,122.34,-138.23,65.0,-75.0,-7.2
time_bucket_15m,09:45-10:00,2070,33.72,109.4,-113.17,80.0,-80.0,4.38
time_bucket_15m,05:15-05:30,2073,32.71,128.26,-125.07,80.0,-70.0,5.36
cat_prev_day_change,prev_big_down,24109,31.83,125.97,-130.43,70.0,-70.0,2.83
time_bucket_15m,10:00-10:15,2070,31.69,104.73,-104.72,80.0,-75.0,0.3
