metric,all_mean,strong_down_mean,diff
dist_ma20_pct,0.0031,-0.0057,-0.0088
rsi14,50.8753,49.9722,-0.9031
vol_ratio,1.0538,1.2965,0.2426
atr_ratio,0.9961,1.0227,0.0266
bb_ratio,1.0841,1.2021,0.118
body_ratio,0.4706,0.4693,-0.0013
prev_day_change_pct,0.0819,-0.0169,-0.0988
up_move_6,62.25,46.5115,-15.7385
down_move_6,-64.0023,-185.9797,-121.9775
close_move_6,0.7378,-104.7045,-105.4423
