feature,value,n,strong_up_rate_pct,strong_down_rate_pct,edge_up_minus_down
time_bucket_15m,16:45-17:00,990,32.53,27.17,5.35
time_bucket_15m,16:30-16:45,990,28.79,24.44,4.34
time_bucket_15m,03:15-03:30,2073,29.04,24.79,4.25
time_bucket_15m,01:00-01:15,2073,34.73,30.68,4.05
time_bucket_15m,10:30-10:45,2070,51.26,47.54,3.72
time_bucket_15m,13:45-14:00,2070,37.15,33.48,3.67
time_bucket_15m,06:00-06:15,691,57.31,53.69,3.62
time_bucket_15m,10:00-10:15,2070,55.65,52.27,3.38
cat_dist_ma20,far_below,7095,56.55,53.21,3.34
time_bucket_15m,11:00-11:15,2070,44.49,41.69,2.8
time_bucket_15m,04:30-04:45,2073,30.1,27.45,2.65
time_bucket_15m,14:15-14:30,2070,39.76,37.63,2.13
time_bucket_15m,14:00-14:15,2070,35.56,33.48,2.08
time_bucket_15m,15:15-15:30,1412,51.27,49.22,2.05
time_bucket_15m,14:30-14:45,2070,39.13,37.29,1.84
time_bucket_15m,21:30-21:45,2073,28.85,27.06,1.78
time_bucket_15m,00:00-00:15,2073,42.69,40.96,1.74
time_bucket_15m,22:15-22:30,2073,44.43,42.98,1.45
time_bucket_15m,19:00-19:15,2073,20.74,19.39,1.35
cat_vol_ratio,vol_spike,14392,51.81,50.49,1.32
time_bucket_15m,05:30-05:45,2073,16.16,14.86,1.3
time_bucket_15m,10:15-10:30,2070,52.66,51.45,1.21
time_bucket_15m,18:45-19:00,2073,22.53,21.37,1.16
cat_gap,gap_up,67282,34.04,32.94,1.1
time_bucket_15m,11:15-11:30,2070,38.41,37.34,1.06
cat_rsi,rsi_low,47824,38.78,37.76,1.02
time_bucket_15m,20:30-20:45,2073,20.36,19.34,1.01
time_bucket_15m,23:45-24:00,2070,58.84,57.92,0.92
time_bucket_15m,09:15-09:30,2070,61.84,60.97,0.87
time_bucket_15m,22:00-22:15,2073,25.13,24.31,0.82
time_bucket_15m,17:45-18:00,2073,30.0,29.23,0.77
cat_trend,trend_down,65641,37.92,37.18,0.74
time_bucket_15m,05:45-06:00,2073,41.1,40.38,0.72
time_bucket_15m,13:00-13:15,2070,35.99,35.27,0.72
flag_break_prev_low,break_prev_low,34707,38.95,38.34,0.61
time_bucket_15m,12:00-12:15,2070,23.96,23.43,0.53
time_bucket_15m,03:00-03:15,2073,27.26,26.77,0.48
time_bucket_15m,20:00-20:15,2073,20.02,19.54,0.48
cat_prev_day_change,prev_down,38478,33.19,32.79,0.4
time_bucket_15m,00:30-00:45,2073,37.24,37.05,0.19
cat_dist_ma20,near_below,73115,34.91,34.83,0.09
flag_above_prev_day_close,below_prev_day_close,79253,37.19,37.13,0.06
flag_pullback_2bar,pullback_2bar,113034,35.72,35.72,-0.0
time_bucket_15m,21:15-21:30,2073,30.63,30.63,0.0
cat_body_ratio,body_small,32938,40.8,40.86,-0.05
flag_pullback_vol_weak,pullback_vol_not_weak,59279,40.71,40.76,-0.05
cat_bb_ratio,bb_expand,71719,39.66,39.71,-0.05
weekday,Wednesday,33638,34.34,34.39,-0.05
cat_atr_ratio,atr_high,52742,41.85,41.93,-0.08
flag_break_prev_high,no_break_prev_high,130163,34.42,34.51,-0.08
flag_bull,not_bull,92398,34.51,34.62,-0.11
time_bucket_15m,11:45-12:00,2070,26.81,26.96,-0.14
time_bucket_15m,19:15-19:30,2073,20.55,20.69,-0.14
time_bucket_15m,08:45-09:00,2070,70.48,70.68,-0.19
time_bucket_15m,23:15-23:30,2070,47.68,47.87,-0.19
time_bucket_15m,12:45-13:00,2070,41.06,41.26,-0.19
flag_hold_prev_high,hold_prev_high,97155,33.98,34.17,-0.19
cat_prev_day_change,prev_big_down,24109,43.98,44.19,-0.22
flag_hold_prev_low,break_prev_low,67749,37.25,37.47,-0.22
cat_prev_day_change,prev_up,34122,31.6,31.83,-0.23
time_bucket_15m,02:30-02:45,2073,26.53,26.77,-0.24
time_bucket_15m,11:30-11:45,2070,26.09,26.33,-0.24
time_bucket_15m,09:30-09:45,2070,57.58,57.87,-0.29
cat_vol_ratio,vol_normal,41976,35.37,35.65,-0.29
cat_bb_ratio,bb_mid,21015,33.44,33.72,-0.29
time_bucket_15m,02:15-02:30,2073,28.61,28.9,-0.29
cat_vol_ratio,vol_high,27819,38.69,39.0,-0.32
weekday,Tuesday,33644,32.3,32.64,-0.34
time_bucket_15m,15:30-15:45,1083,50.14,50.6,-0.46
weekday,Friday,33638,35.96,36.43,-0.46
cat_gap,gap_flat,36929,29.54,29.99,-0.46
time_bucket_15m,12:15-12:30,2070,45.07,45.56,-0.48
flag_hold_prev_low,hold_prev_low,99382,32.64,33.15,-0.5
weekday,Thursday,33638,35.22,35.74,-0.52
cat_atr_ratio,atr_mid,83008,31.19,31.71,-0.52
time_bucket_15m,09:00-09:15,2070,66.14,66.67,-0.53
cat_atr_ratio,atr_low,31362,30.98,31.53,-0.56
weekday,Monday,32573,34.74,35.31,-0.57
cat_rsi,rsi_midlow,34717,32.84,33.41,-0.57
flag_pullback_vol_weak,pullback_vol_weak,107852,31.1,31.68,-0.57
cat_body_ratio,body_mid,58697,33.73,34.32,-0.59
cat_body_ratio,body_large,55274,34.18,34.8,-0.62
time_bucket_15m,18:15-18:30,2073,25.18,25.81,-0.63
flag_break_prev_low,no_break_prev_low,132424,33.35,34.0,-0.65
flag_hold_prev_high,break_prev_high,69976,35.24,35.91,-0.67
time_bucket_15m,12:30-12:45,2070,43.38,44.06,-0.68
cat_vol_ratio,vol_low,82025,29.45,30.17,-0.72
time_bucket_15m,21:45-22:00,2073,26.87,27.59,-0.72
flag_bull,bull,74733,34.51,35.24,-0.73
cat_bb_ratio,bb_squeeze,74359,29.86,30.6,-0.74
time_bucket_15m,14:45-15:00,2070,42.95,43.72,-0.77
flag_above_prev_day_close,above_prev_day_close,87878,32.09,32.89,-0.79
cat_rsi,rsi_midhigh,32218,32.42,33.22,-0.8
cat_dist_ma20,near_above,80305,31.16,32.01,-0.86
