combo_size,condition,n,hit_rate_pct,avg_up_move,avg_down_move,median_up_move,median_down_move,avg_close_move
3,cat_vol_ratio=vol_low & flag_pullback_vol_weak=pullback_vol_weak & time_bucket_15m=06:00-06:15,43,76.74,289.77,-294.42,245.0,-185.0,-2.91
3,cat_prev_day_change=prev_up & flag_break_prev_low=break_prev_low & time_bucket_15m=15:30-15:45,30,76.67,427.0,-109.67,335.0,-27.5,291.5
3,cat_dist_ma20=far_below & cat_vol_ratio=vol_spike & time_bucket_15m=23:00-23:15,30,76.67,506.83,-408.67,332.5,-172.5,183.17
3,cat_dist_ma20=far_below & flag_break_prev_high=no_break_prev_high & time_bucket_15m=13:30-13:45,30,76.67,231.33,-337.33,222.5,-105.0,-9.83
3,cat_bb_ratio=bb_squeeze & cat_prev_day_change=prev_big_down & time_bucket_15m=23:15-23:30,60,76.67,270.0,-343.75,205.0,-117.5,-46.33
3,cat_rsi=rsi_midlow & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:15-15:30,143,76.22,447.87,-29.37,340.0,-60.0,335.77
3,cat_gap=gap_flat & time_bucket_15m=15:15-15:30 & weekday=Monday,42,76.19,316.55,-21.55,222.5,-20.0,245.71
3,cat_vol_ratio=vol_high & cat_atr_ratio=atr_mid & time_bucket_15m=06:00-06:15,42,76.19,235.24,-190.95,237.5,-130.0,47.74
3,flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:00-15:15 & weekday=Thursday,171,76.02,424.06,-82.98,385.0,-45.0,324.21
3,cat_atr_ratio=atr_high & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:30-15:45,166,75.9,399.22,-81.14,352.5,-25.0,297.11
3,flag_hold_prev_low=break_prev_low & flag_pullback_vol_weak=pullback_vol_weak & time_bucket_15m=08:45-09:00,33,75.76,381.36,-319.09,275.0,-300.0,61.67
2,cat_dist_ma20=far_below & time_bucket_15m=13:30-13:45,33,75.76,223.79,-408.18,220.0,-110.0,-98.18
3,cat_gap=gap_down & flag_pullback_vol_weak=pullback_vol_weak & time_bucket_15m=08:45-09:00,37,75.68,328.65,-301.89,240.0,-285.0,42.16
3,flag_break_prev_low=break_prev_low & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:15-15:30,193,75.65,462.07,61.11,310.0,-35.0,352.8
3,cat_dist_ma20=near_below & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:45-16:00,78,75.64,457.18,272.18,372.5,205.0,372.82
3,cat_prev_day_change=prev_flat & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:30-15:45,86,75.58,405.29,-77.5,370.0,-30.0,306.74
3,cat_body_ratio=body_large & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:30-15:45,135,75.56,568.22,-82.44,430.0,-30.0,439.85
3,cat_prev_day_change=prev_big_up & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:00-15:15,204,75.49,414.85,-122.97,407.5,-52.5,276.2
3,cat_prev_day_change=prev_big_down & time_bucket_15m=08:45-09:00 & weekday=Thursday,57,75.44,242.28,-126.14,230.0,-100.0,91.4
3,flag_hold_prev_low=break_prev_low & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:15-15:30,309,75.4,471.52,-22.01,335.0,-60.0,341.97
3,cat_dist_ma20=far_below & cat_bb_ratio=bb_squeeze & weekday=Wednesday,65,75.38,321.46,-327.62,215.0,-230.0,24.0
3,flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:00-15:15 & weekday=Wednesday,192,75.0,378.07,-68.1,225.0,-35.0,272.6
3,cat_rsi=rsi_low & time_bucket_15m=15:30-15:45 & weekday=Friday,68,75.0,369.49,-87.94,265.0,-17.5,238.9
3,cat_trend=trend_down & time_bucket_15m=15:45-16:00 & weekday=Friday,32,75.0,314.38,148.28,297.5,145.0,228.44
3,flag_break_prev_high=no_break_prev_high & flag_pullback_vol_weak=pullback_vol_weak & time_bucket_15m=08:45-09:00,32,75.0,388.28,-331.09,262.5,-320.0,72.03
3,flag_bull=bull & flag_pullback_vol_weak=pullback_vol_weak & time_bucket_15m=08:45-09:00,32,75.0,302.97,-219.69,265.0,-170.0,35.62
3,cat_dist_ma20=far_below & cat_bb_ratio=bb_expand & time_bucket_15m=23:15-23:30,56,75.0,487.86,-523.66,320.0,-267.5,-10.62
3,cat_dist_ma20=far_below & flag_bull=not_bull & time_bucket_15m=23:00-23:15,48,75.0,478.54,-621.67,300.0,-322.5,-47.29
3,cat_dist_ma20=far_below & cat_bb_ratio=bb_expand & time_bucket_15m=13:30-13:45,32,75.0,215.94,-419.06,200.0,-110.0,-107.5
3,cat_gap=gap_down & cat_prev_day_change=prev_up & time_bucket_15m=15:30-15:45,87,74.71,351.67,-124.54,285.0,-20.0,185.8
3,cat_gap=gap_flat & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:15-15:30,134,74.63,397.99,12.39,315.0,-30.0,330.97
3,cat_prev_day_change=prev_big_down & time_bucket_15m=23:00-23:15 & weekday=Friday,51,74.51,231.96,-335.49,205.0,-135.0,-104.31
3,cat_trend=trend_down & cat_gap=gap_down & time_bucket_15m=15:45-16:00,47,74.47,467.23,268.4,310.0,140.0,371.28
3,flag_pullback_vol_weak=pullback_vol_not_weak & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:15-15:30,223,74.44,423.21,-125.76,325.0,-75.0,291.19
3,cat_dist_ma20=far_below & cat_gap=gap_down & time_bucket_15m=08:45-09:00,43,74.42,316.51,-329.19,250.0,-300.0,33.26
