metric,all_mean,strong_down_mean,diff
dist_ma20_pct,0.0031,-0.0016,-0.0048
rsi14,50.8753,50.274,-0.6013
vol_ratio,1.0538,1.2534,0.1996
atr_ratio,0.9961,1.0209,0.0248
bb_ratio,1.0841,1.174,0.0898
body_ratio,0.4706,0.4688,-0.0018
prev_day_change_pct,0.0819,-0.0217,-0.1036
up_move_12,94.3148,73.7947,-20.5202
down_move_12,-97.4137,-283.5137,-186.1
close_move_12,1.4755,-161.8119,-163.2875
