metric,all_mean,strong_up_mean,diff
dist_ma20_pct,0.0031,-0.018,-0.0211
rsi14,50.8753,49.5474,-1.3279
vol_ratio,1.0538,1.2375,0.1837
atr_ratio,0.9961,1.0168,0.0207
bb_ratio,1.0841,1.1836,0.0995
body_ratio,0.4706,0.4686,-0.0021
prev_day_change_pct,0.0819,0.0099,-0.072
up_move_3,41.3397,95.138,53.7983
down_move_3,-42.2791,-28.9734,13.3057
close_move_3,0.3688,50.0606,49.6918
