combo_size,condition,n,hit_rate_pct,avg_up_move,avg_down_move,median_up_move,median_down_move,avg_close_move
3,cat_gap=gap_down & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=22:45-23:00,32,100.0,35.0,-395.16,20.0,-410.0,-326.56
3,cat_gap=gap_down & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:45-16:00,31,100.0,-570.48,-827.74,-395.0,-615.0,-696.61
3,cat_gap=gap_down & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:30-15:45,80,100.0,24.94,-853.69,20.0,-627.5,-749.19
3,cat_gap=gap_down & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:15-15:30,105,97.14,-10.57,-718.33,55.0,-550.0,-635.95
3,cat_gap=gap_down & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:00-15:15,141,91.49,68.9,-650.25,45.0,-550.0,-575.89
3,cat_gap=gap_down & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=22:30-22:45,35,88.57,58.57,-352.0,45.0,-380.0,-287.14
3,cat_gap=gap_down & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=22:15-22:30,42,88.1,54.05,-317.5,35.0,-290.0,-258.57
3,cat_dist_ma20=far_above & flag_hold_prev_low=hold_prev_low & time_bucket_15m=23:00-23:15,32,87.5,564.84,-570.78,205.0,-315.0,54.84
3,cat_dist_ma20=far_above & flag_bull=bull & time_bucket_15m=23:00-23:15,31,87.1,508.71,-603.87,195.0,-340.0,-12.9
3,flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:30-15:45 & weekday=Monday,83,86.75,38.92,-735.84,20.0,-425.0,-639.94
3,flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:15-15:30 & weekday=Monday,120,86.67,-4.25,-605.33,45.0,-400.0,-517.21
3,cat_dist_ma20=far_above & cat_rsi=rsi_high & time_bucket_15m=23:00-23:15,36,86.11,479.17,-666.94,180.0,-335.0,-117.5
3,flag_break_prev_low=no_break_prev_low & flag_pullback_vol_weak=pullback_vol_weak & time_bucket_15m=08:45-09:00,33,84.85,285.61,-226.36,230.0,-175.0,71.06
2,cat_dist_ma20=far_above & time_bucket_15m=23:00-23:15,39,84.62,584.36,-627.95,215.0,-325.0,23.21
3,cat_trend=trend_up & cat_dist_ma20=far_above & time_bucket_15m=23:00-23:15,39,84.62,584.36,-627.95,215.0,-325.0,23.21
3,cat_dist_ma20=far_above & cat_bb_ratio=bb_expand & time_bucket_15m=23:00-23:15,38,84.21,595.39,-634.34,292.5,-315.0,28.68
3,cat_dist_ma20=far_above & flag_break_prev_low=no_break_prev_low & time_bucket_15m=23:00-23:15,38,84.21,555.13,-635.79,205.0,-315.0,-20.53
3,cat_dist_ma20=far_above & cat_atr_ratio=atr_high & time_bucket_15m=23:00-23:15,30,83.33,653.5,-639.5,470.0,-327.5,104.83
3,cat_bb_ratio=bb_squeeze & flag_pullback_vol_weak=pullback_vol_weak & time_bucket_15m=08:45-09:00,30,83.33,253.0,-253.5,150.0,-187.5,-36.67
3,cat_gap=gap_flat & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:45-16:00,42,83.33,-309.29,-457.14,-190.0,-312.5,-379.05
3,flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:00-15:15 & weekday=Monday,180,82.78,63.61,-543.11,35.0,-395.0,-447.89
3,cat_rsi=rsi_midhigh & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:45-16:00,34,82.35,-345.88,-518.82,-197.5,-335.0,-430.74
3,cat_gap=gap_down & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=14:45-15:00,146,82.19,71.61,-506.1,50.0,-410.0,-430.96
3,flag_hold_prev_high=break_prev_high & flag_pullback_vol_weak=pullback_vol_weak & time_bucket_15m=08:45-09:00,39,82.05,305.13,-248.59,230.0,-210.0,66.15
3,cat_dist_ma20=far_above & flag_pullback_vol_weak=pullback_vol_not_weak & time_bucket_15m=23:00-23:15,33,81.82,576.97,-617.58,215.0,-305.0,0.76
3,cat_prev_day_change=prev_big_down & time_bucket_15m=15:30-15:45 & weekday=Thursday,33,81.82,120.61,-559.39,35.0,-565.0,-376.67
3,flag_break_prev_high=break_prev_high & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:30-15:45,117,81.2,63.08,-660.73,30.0,-455.0,-537.18
3,cat_gap=gap_down & flag_pullback_vol_weak=pullback_vol_weak & time_bucket_15m=08:45-09:00,37,81.08,328.65,-301.89,240.0,-285.0,42.16
3,cat_trend=trend_mixed & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:45-16:00,31,80.65,-304.03,-483.71,-290.0,-405.0,-394.03
3,cat_prev_day_change=prev_big_down & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:15-15:30,118,80.51,85.51,-577.33,67.5,-400.0,-405.51
3,cat_gap=gap_flat & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:00-15:15,225,80.44,65.49,-403.27,35.0,-300.0,-337.09
3,flag_pullback_vol_weak=pullback_vol_weak & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=08:45-09:00,40,80.0,352.5,-280.75,265.0,-267.5,89.12
3,cat_dist_ma20=far_above & cat_prev_day_change=prev_big_down & time_bucket_15m=17:45-18:00,30,80.0,51.33,-245.67,42.5,-212.5,-185.17
3,cat_trend=trend_up & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:15-15:30,341,79.77,20.88,-493.53,45.0,-330.0,-391.67
3,flag_hold_prev_high=break_prev_high & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:30-15:45,210,79.52,78.98,-582.67,30.0,-430.0,-452.57
3,cat_trend=trend_up & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:00-15:15,527,79.51,95.04,-482.88,40.0,-370.0,-375.16
3,flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:00-15:15 & weekday=Thursday,246,78.86,131.1,-426.1,50.0,-370.0,-290.2
2,flag_pullback_vol_weak=pullback_vol_weak & time_bucket_15m=08:45-09:00,61,78.69,325.66,-273.28,240.0,-230.0,62.54
3,cat_body_ratio=body_small & time_bucket_15m=05:30-05:45 & weekday=Friday,51,78.43,130.2,-218.82,90.0,-170.0,-72.65
3,cat_atr_ratio=atr_low & cat_gap=gap_down & time_bucket_15m=23:00-23:15,37,78.38,432.97,-522.3,215.0,-380.0,62.57
3,cat_dist_ma20=far_below & flag_hold_prev_low=break_prev_low & time_bucket_15m=23:15-23:30,46,78.26,444.02,-583.15,257.5,-380.0,-74.46
