feature,value,n,hit_rate_pct,avg_up_move,avg_down_move,median_up_move,median_down_move,avg_close_move
time_bucket_15m,06:00-06:15,691,57.02,130.88,-118.86,95.0,-95.0,6.03
time_bucket_15m,23:30-23:45,2070,55.8,262.38,-243.29,105.0,-105.0,28.0
time_bucket_15m,08:45-09:00,2070,55.02,125.05,-128.1,90.0,-100.0,-0.14
time_bucket_15m,09:00-09:15,2070,50.05,104.48,-105.41,80.0,-80.0,0.93
time_bucket_15m,23:45-24:00,2070,50.0,204.2,-173.51,77.5,-75.0,27.79
time_bucket_15m,15:30-15:45,1083,49.12,253.14,-290.45,75.0,-105.0,-36.23
time_bucket_15m,05:45-06:00,2073,49.11,118.63,-115.82,75.0,-65.0,5.48
time_bucket_15m,15:15-15:30,1412,48.02,157.81,-186.14,70.0,-85.0,-20.04
time_bucket_15m,15:45-16:00,361,46.26,35.32,-117.71,25.0,-95.0,-42.98
time_bucket_15m,09:15-09:30,2070,45.51,90.94,-90.19,70.0,-70.0,2.5
cat_dist_ma20,far_below,7095,43.09,116.08,-102.71,65.0,-55.0,16.63
time_bucket_15m,09:30-09:45,2070,42.37,83.56,-84.51,65.0,-65.0,1.98
cat_vol_ratio,vol_spike,14392,38.15,94.92,-97.14,55.0,-55.0,0.02
time_bucket_15m,10:00-10:15,2070,37.92,78.74,-79.22,60.0,-55.0,3.66
time_bucket_15m,09:45-10:00,2070,37.63,79.05,-83.56,55.0,-65.0,1.29
time_bucket_15m,15:00-15:15,2070,36.81,128.5,-141.77,50.0,-55.0,-10.45
time_bucket_15m,10:15-10:30,2070,35.17,73.97,-73.51,55.0,-55.0,3.09
time_bucket_15m,14:45-15:00,2070,32.8,105.34,-111.84,50.0,-50.0,-6.49
cat_dist_ma20,far_above,6597,31.91,87.11,-97.44,50.0,-55.0,-5.25
time_bucket_15m,22:15-22:30,2073,31.69,66.55,-66.3,45.0,-45.0,1.05
cat_prev_day_change,prev_big_down,24109,30.85,83.69,-85.73,45.0,-45.0,1.5
time_bucket_15m,23:15-23:30,2070,30.34,70.15,-75.09,50.0,-50.0,0.71
time_bucket_15m,10:30-10:45,2070,30.1,67.0,-69.61,50.0,-50.0,-3.36
cat_atr_ratio,atr_high,52742,28.64,77.04,-78.53,45.0,-45.0,1.76
time_bucket_15m,23:00-23:15,2070,28.21,66.57,-69.95,45.0,-50.0,0.67
time_bucket_15m,12:15-12:30,2070,27.97,62.67,-69.29,45.0,-45.0,-3.1
flag_pullback_vol_weak,pullback_vol_not_weak,59279,27.91,75.64,-78.97,40.0,-40.0,-0.45
time_bucket_15m,22:30-22:45,2073,27.88,66.03,-73.16,45.0,-50.0,-2.01
cat_body_ratio,body_small,32938,27.07,71.22,-72.45,45.0,-40.0,1.17
cat_bb_ratio,bb_expand,71719,26.6,71.33,-73.05,40.0,-40.0,1.02
time_bucket_15m,05:30-05:45,2073,26.53,71.53,-68.44,35.0,-30.0,2.63
cat_vol_ratio,vol_high,27819,26.36,72.97,-77.61,40.0,-40.0,-1.57
time_bucket_15m,22:45-23:00,2073,26.24,64.9,-68.8,45.0,-45.0,-0.9
time_bucket_15m,14:30-14:45,2070,26.23,59.93,-59.51,45.0,-45.0,1.63
time_bucket_15m,12:30-12:45,2070,25.99,59.82,-64.81,45.0,-45.0,-1.24
time_bucket_15m,10:45-11:00,2070,25.94,60.34,-67.25,45.0,-50.0,-2.04
flag_break_prev_low,break_prev_low,34707,25.93,69.67,-68.65,40.0,-40.0,3.63
cat_rsi,rsi_low,47824,25.46,69.2,-67.75,40.0,-40.0,4.19
time_bucket_15m,11:00-11:15,2070,25.27,58.21,-57.62,45.0,-40.0,1.26
cat_gap,gap_down,62678,25.09,70.82,-71.78,40.0,-40.0,1.3
time_bucket_15m,00:00-00:15,2073,25.08,60.91,-64.89,45.0,-40.0,1.35
cat_trend,trend_down,65641,24.9,68.8,-66.03,40.0,-35.0,5.04
flag_above_prev_day_close,below_prev_day_close,79253,24.68,71.41,-63.35,40.0,-40.0,9.0
flag_hold_prev_low,break_prev_low,67749,24.63,67.11,-67.36,40.0,-40.0,2.36
time_bucket_15m,12:45-13:00,2070,24.15,54.72,-58.14,40.0,-40.0,-1.7
time_bucket_15m,00:15-00:30,2073,23.69,57.88,-60.24,40.0,-40.0,2.64
cat_prev_day_change,prev_big_up,32912,23.22,65.43,-67.45,40.0,-40.0,0.71
flag_pullback_2bar,pullback_2bar,113034,23.11,64.51,-65.07,35.0,-35.0,1.93
weekday,Thursday,33638,22.99,62.68,-65.3,35.0,-35.0,0.07
weekday,Friday,33638,22.84,61.82,-65.49,40.0,-40.0,-1.14
weekday,Monday,32573,22.66,66.17,-65.92,35.0,-35.0,2.43
cat_vol_ratio,vol_normal,41976,22.56,62.48,-63.55,35.0,-35.0,1.63
flag_hold_prev_high,break_prev_high,69976,22.54,62.44,-65.65,35.0,-35.0,-0.47
time_bucket_15m,22:00-22:15,2073,22.53,56.15,-53.78,40.0,-35.0,3.85
flag_bull,not_bull,92398,22.42,62.72,-63.97,35.0,-35.0,1.55
time_bucket_15m,14:15-14:30,2070,22.32,56.49,-56.22,40.0,-40.0,0.99
flag_break_prev_high,no_break_prev_high,130163,22.25,62.5,-63.31,35.0,-35.0,1.49
