feature,value,n,hit_rate_pct,avg_up_move,avg_down_move,median_up_move,median_down_move,avg_close_move
flag_hold_prev_high,hold_prev_high,97155,33.98,41.72,-41.83,25.0,-25.0,1.04
time_bucket_15m,13:15-13:30,2070,33.86,35.41,-37.17,25.0,-25.0,-1.16
cat_body_ratio,body_mid,58697,33.73,39.88,-40.66,25.0,-25.0,0.59
time_bucket_15m,17:15-17:30,2073,33.53,36.76,-37.97,25.0,-25.0,0.3
cat_bb_ratio,bb_mid,21015,33.44,41.34,-41.24,25.0,-25.0,1.08
flag_break_prev_low,no_break_prev_low,132424,33.35,40.07,-41.54,25.0,-25.0,-0.08
cat_prev_day_change,prev_down,38478,33.19,39.34,-40.14,25.0,-25.0,0.38
cat_rsi,rsi_high,52306,33.02,38.38,-43.06,25.0,-25.0,-2.63
cat_rsi,rsi_midlow,34717,32.84,40.11,-39.19,25.0,-25.0,1.78
flag_hold_prev_low,hold_prev_low,99382,32.64,39.28,-41.18,25.0,-25.0,-0.5
cat_trend,trend_up,72339,32.62,38.31,-42.12,25.0,-25.0,-1.99
time_bucket_15m,13:30-13:45,2070,32.56,33.3,-35.41,25.0,-25.0,-1.1
time_bucket_15m,16:45-17:00,990,32.53,34.92,-34.18,25.0,-20.0,1.18
cat_rsi,rsi_midhigh,32218,32.42,39.43,-39.54,25.0,-25.0,0.76
weekday,Tuesday,33644,32.3,38.94,-40.94,25.0,-25.0,-0.26
flag_above_prev_day_close,above_prev_day_close,87878,32.09,35.89,-42.23,25.0,-25.0,-3.43
flag_pullback_2bar,no_pullback_2bar,54097,31.99,38.09,-41.01,25.0,-25.0,-1.24
cat_prev_day_change,prev_up,34122,31.6,37.01,-37.56,25.0,-25.0,0.35
cat_trend,trend_mixed,29151,31.54,37.63,-38.69,25.0,-25.0,0.43
cat_atr_ratio,atr_mid,83008,31.19,37.91,-38.77,25.0,-25.0,0.37
cat_dist_ma20,near_above,80305,31.16,36.07,-39.07,25.0,-25.0,-1.39
flag_pullback_vol_weak,pullback_vol_weak,107852,31.1,36.4,-36.92,25.0,-25.0,0.72
cat_atr_ratio,atr_low,31362,30.98,34.88,-36.33,25.0,-20.0,-0.27
cat_prev_day_change,prev_flat,37026,30.9,36.22,-37.55,25.0,-25.0,0.17
time_bucket_15m,21:15-21:30,2073,30.63,38.94,-38.6,20.0,-25.0,0.9
time_bucket_15m,17:30-17:45,2073,30.34,33.77,-33.65,25.0,-25.0,1.73
time_bucket_15m,01:15-01:30,2073,30.34,34.7,-37.42,25.0,-25.0,-0.18
time_bucket_15m,04:30-04:45,2073,30.1,32.77,-31.48,25.0,-20.0,2.45
time_bucket_15m,17:45-18:00,2073,30.0,33.03,-34.44,25.0,-25.0,0.28
cat_bb_ratio,bb_squeeze,74359,29.86,35.07,-36.49,20.0,-20.0,-0.11
cat_gap,gap_flat,36929,29.54,35.01,-35.64,20.0,-20.0,0.55
cat_vol_ratio,vol_low,82025,29.45,35.3,-35.81,20.0,-20.0,0.66
time_bucket_15m,03:15-03:30,2073,29.04,32.35,-29.35,20.0,-20.0,3.67
time_bucket_15m,21:30-21:45,2073,28.85,33.17,-31.35,20.0,-20.0,2.43
time_bucket_15m,16:30-16:45,990,28.79,33.83,-30.09,25.0,-20.0,1.68
time_bucket_15m,01:45-02:00,2073,28.7,32.34,-35.96,20.0,-25.0,-2.6
time_bucket_15m,02:15-02:30,2073,28.61,33.39,-33.27,20.0,-20.0,2.02
time_bucket_15m,02:00-02:15,2073,28.03,32.39,-34.85,20.0,-20.0,-0.1
time_bucket_15m,04:45-05:00,2073,27.74,31.26,-32.05,20.0,-20.0,-0.63
time_bucket_15m,01:30-01:45,2073,27.4,32.07,-34.84,20.0,-25.0,-0.37
time_bucket_15m,03:00-03:15,2073,27.26,30.93,-31.25,20.0,-20.0,1.35
time_bucket_15m,21:45-22:00,2073,26.87,31.11,-31.21,20.0,-20.0,0.28
time_bucket_15m,11:45-12:00,2070,26.81,29.27,-29.29,20.0,-20.0,0.39
time_bucket_15m,02:30-02:45,2073,26.53,31.38,-31.77,20.0,-20.0,1.79
time_bucket_15m,02:45-03:00,2073,26.19,31.41,-33.86,20.0,-20.0,-0.17
time_bucket_15m,11:30-11:45,2070,26.09,30.46,-30.58,20.0,-25.0,1.01
time_bucket_15m,18:15-18:30,2073,25.18,29.0,-30.54,20.0,-20.0,-1.96
time_bucket_15m,22:00-22:15,2073,25.13,28.65,-28.77,20.0,-20.0,1.11
time_bucket_15m,18:00-18:15,2073,25.08,30.51,-32.95,20.0,-20.0,-0.97
time_bucket_15m,04:00-04:15,2073,24.55,28.67,-28.72,20.0,-20.0,2.24
time_bucket_15m,03:45-04:00,2073,24.31,29.22,-31.54,20.0,-20.0,-0.07
time_bucket_15m,03:30-03:45,2073,24.07,28.03,-29.31,20.0,-20.0,-0.03
time_bucket_15m,12:00-12:15,2070,23.96,28.07,-26.78,20.0,-20.0,0.66
time_bucket_15m,04:15-04:30,2073,23.4,29.54,-30.79,20.0,-20.0,0.08
