combo_size,condition,n,hit_rate_pct,avg_up_move,avg_down_move,median_up_move,median_down_move,avg_close_move
3,cat_gap=gap_up & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:30-15:45,51,100.0,608.82,-19.8,520.0,-15.0,533.33
3,cat_prev_day_change=prev_up & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:30-15:45,103,91.26,459.08,-24.37,355.0,-15.0,388.69
3,cat_prev_day_change=prev_up & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:45-16:00,35,88.57,445.14,329.86,330.0,190.0,375.43
3,cat_trend=trend_down & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:45-16:00,66,87.88,550.68,396.14,450.0,322.5,466.44
3,flag_break_prev_low=break_prev_low & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:30-15:45,104,87.5,567.31,-58.65,447.5,-25.0,472.84
3,flag_break_prev_low=break_prev_low & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:45-16:00,63,85.71,517.54,350.0,420.0,295.0,422.46
3,flag_hold_prev_low=break_prev_low & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:45-16:00,63,85.71,517.54,350.0,420.0,295.0,422.46
3,flag_break_prev_high=no_break_prev_high & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:45-16:00,76,85.53,515.0,355.39,415.0,305.0,425.0
3,flag_hold_prev_high=hold_prev_high & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:45-16:00,76,85.53,515.0,355.39,415.0,305.0,425.0
3,flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:30-15:45 & weekday=Thursday,79,84.81,477.97,-73.67,425.0,-20.0,375.95
3,cat_rsi=rsi_low & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:45-16:00,50,84.0,570.2,408.3,450.0,322.5,475.0
3,cat_dist_ma20=far_below & flag_bull=bull & time_bucket_15m=08:45-09:00,31,83.87,330.16,-234.03,185.0,-150.0,152.26
3,cat_prev_day_change=prev_up & flag_break_prev_low=break_prev_low & time_bucket_15m=15:30-15:45,30,83.33,414.33,-106.83,335.0,-22.5,284.67
3,cat_rsi=rsi_low & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:30-15:45,156,82.69,503.88,-78.04,365.0,-25.0,394.2
3,flag_pullback_2bar=pullback_2bar & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:45-16:00,86,82.56,548.6,391.98,442.5,315.0,450.7
3,flag_hold_prev_low=break_prev_low & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:30-15:45,172,82.56,538.46,-67.94,422.5,-25.0,440.64
3,flag_pullback_vol_weak=pullback_vol_weak & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=08:45-09:00,40,82.5,267.88,-217.88,262.5,-160.0,45.25
3,cat_prev_day_change=prev_big_down & time_bucket_15m=09:00-09:15 & weekday=Thursday,57,82.46,188.16,-89.39,170.0,-50.0,84.39
3,cat_dist_ma20=near_below & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:45-16:00,78,82.05,442.05,288.59,357.5,245.0,356.15
3,cat_rsi=rsi_low & cat_vol_ratio=vol_spike & time_bucket_15m=15:30-15:45,39,82.05,411.79,-118.33,365.0,-30.0,287.31
3,flag_hold_prev_high=break_prev_high & flag_pullback_vol_weak=pullback_vol_weak & time_bucket_15m=08:45-09:00,39,82.05,240.26,-190.0,175.0,-145.0,38.85
3,cat_vol_ratio=vol_low & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:45-16:00,77,81.82,620.58,429.42,505.0,350.0,500.97
3,flag_break_prev_low=no_break_prev_low & flag_pullback_vol_weak=pullback_vol_weak & time_bucket_15m=08:45-09:00,33,81.82,233.18,-177.27,170.0,-140.0,40.3
3,cat_body_ratio=body_large & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:30-15:45,135,81.48,555.37,-74.59,405.0,-30.0,443.59
3,cat_gap=gap_flat & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:30-15:45,91,81.32,435.05,-37.58,335.0,-5.0,375.71
3,cat_dist_ma20=far_above & cat_atr_ratio=atr_high & time_bucket_15m=23:45-24:00,32,81.25,599.84,-182.5,382.5,-80.0,363.12
3,flag_bull=bull & flag_pullback_vol_weak=pullback_vol_weak & time_bucket_15m=08:45-09:00,32,81.25,256.41,-169.69,222.5,-135.0,77.03
3,cat_dist_ma20=far_below & cat_atr_ratio=atr_high & time_bucket_15m=13:15-13:30,32,81.25,177.81,-132.81,137.5,-107.5,28.59
3,cat_dist_ma20=far_below & flag_pullback_vol_weak=pullback_vol_not_weak & time_bucket_15m=13:15-13:30,31,80.65,179.19,-145.97,140.0,-115.0,0.97
3,cat_atr_ratio=atr_high & flag_break_prev_low=break_prev_low & time_bucket_15m=15:30-15:45,66,80.3,407.05,-109.32,372.5,-30.0,270.98
3,cat_vol_ratio=vol_spike & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:30-15:45,76,80.26,380.99,-69.34,272.5,-30.0,291.32
3,cat_gap=gap_flat & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:45-16:00,30,80.0,444.33,324.17,300.0,230.0,386.83
3,cat_vol_ratio=vol_spike & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:15-15:30,55,80.0,307.45,-70.91,260.0,-45.0,221.64
3,flag_pullback_2bar=no_pullback_2bar & flag_pullback_vol_weak=pullback_vol_weak & time_bucket_15m=08:45-09:00,55,80.0,253.09,-223.18,180.0,-160.0,28.27
3,cat_rsi=rsi_midlow & time_bucket_15m=08:45-09:00 & weekday=Thursday,60,80.0,137.92,-103.83,125.0,-85.0,20.67
3,cat_dist_ma20=far_below & cat_bb_ratio=bb_expand & time_bucket_15m=12:45-13:00,40,80.0,126.88,-140.25,105.0,-85.0,-5.5
