combo_size,condition,n,hit_rate_pct,avg_up_move,avg_down_move,median_up_move,median_down_move,avg_close_move
3,cat_dist_ma20=far_above & cat_prev_day_change=prev_big_down & time_bucket_15m=09:00-09:15,31,93.55,181.77,-154.03,125.0,-105.0,39.84
3,cat_prev_day_change=prev_up & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:45-16:00,35,91.43,441.86,340.0,330.0,190.0,378.71
3,cat_dist_ma20=far_below & cat_bb_ratio=bb_squeeze & weekday=Wednesday,65,90.77,143.46,-152.77,125.0,-100.0,-26.77
3,cat_trend=trend_up & cat_rsi=rsi_midlow & time_bucket_15m=08:45-09:00,32,90.62,122.66,-109.06,115.0,-62.5,-2.5
3,cat_atr_ratio=atr_high & time_bucket_15m=08:45-09:00 & weekday=Thursday,123,90.24,133.37,-76.1,100.0,-60.0,44.47
3,cat_dist_ma20=far_below & cat_body_ratio=body_mid & time_bucket_15m=10:00-10:15,30,90.0,107.5,-99.67,82.5,-55.0,12.83
3,cat_trend=trend_down & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:45-16:00,66,89.39,540.76,418.79,450.0,322.5,473.86
3,flag_hold_prev_low=break_prev_low & flag_pullback_vol_weak=pullback_vol_weak & time_bucket_15m=08:45-09:00,33,87.88,206.82,-171.82,160.0,-115.0,28.18
3,cat_dist_ma20=far_below & time_bucket_15m=08:45-09:00 & weekday=Monday,41,87.8,219.02,-159.88,125.0,-115.0,39.39
3,cat_prev_day_change=prev_big_down & time_bucket_15m=09:00-09:15 & weekday=Thursday,57,87.72,124.3,-72.54,100.0,-40.0,50.09
3,cat_dist_ma20=far_below & cat_vol_ratio=vol_low & cat_bb_ratio=bb_squeeze,81,87.65,169.14,-53.95,115.0,-60.0,58.15
3,cat_dist_ma20=far_above & cat_atr_ratio=atr_high & time_bucket_15m=23:45-24:00,32,87.5,583.12,-168.28,352.5,-80.0,351.72
3,flag_pullback_vol_weak=pullback_vol_weak & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=08:45-09:00,40,87.5,177.5,-152.88,130.0,-107.5,33.75
3,cat_vol_ratio=vol_spike & time_bucket_15m=23:45-24:00 & weekday=Wednesday,39,87.18,512.18,-61.15,315.0,-55.0,402.56
3,cat_dist_ma20=far_below & cat_prev_day_change=prev_big_down & time_bucket_15m=09:00-09:15,39,87.18,170.77,-188.08,110.0,-135.0,33.08
3,cat_dist_ma20=far_above & cat_body_ratio=body_small & time_bucket_15m=08:45-09:00,31,87.1,148.06,-140.97,120.0,-95.0,23.23
3,cat_gap=gap_flat & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:45-16:00,30,86.67,432.33,336.17,300.0,235.0,387.0
3,cat_dist_ma20=far_below & cat_body_ratio=body_large & time_bucket_15m=08:45-09:00,30,86.67,198.67,-148.67,115.0,-110.0,77.33
3,cat_dist_ma20=far_above & flag_hold_prev_high=hold_prev_high & time_bucket_15m=09:00-09:15,37,86.49,157.3,-112.7,105.0,-65.0,37.84
3,cat_rsi=rsi_midhigh & cat_prev_day_change=prev_up & time_bucket_15m=08:45-09:00,65,86.15,116.23,-78.38,95.0,-50.0,36.62
3,cat_dist_ma20=far_below & flag_pullback_vol_weak=pullback_vol_not_weak & time_bucket_15m=10:30-10:45,36,86.11,127.5,-87.64,90.0,-45.0,48.75
3,cat_dist_ma20=far_below & flag_break_prev_low=break_prev_low & time_bucket_15m=10:30-10:45,36,86.11,119.58,-83.47,85.0,-62.5,38.47
3,cat_dist_ma20=far_below & cat_gap=gap_down & time_bucket_15m=08:45-09:00,43,86.05,205.58,-199.53,165.0,-180.0,-4.88
3,cat_rsi=rsi_low & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:45-16:00,50,86.0,559.4,436.1,450.0,347.5,490.8
3,cat_vol_ratio=vol_high & cat_bb_ratio=bb_squeeze & time_bucket_15m=08:45-09:00,50,86.0,107.9,-91.8,92.5,-65.0,17.2
3,cat_dist_ma20=far_below & cat_bb_ratio=bb_squeeze & weekday=Tuesday,57,85.96,149.3,-104.65,105.0,-65.0,41.58
3,cat_dist_ma20=far_below & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=08:45-09:00,71,85.92,209.72,-152.39,130.0,-105.0,55.56
3,flag_break_prev_low=break_prev_low & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:45-16:00,63,85.71,507.38,376.43,420.0,305.0,437.22
3,flag_hold_prev_low=break_prev_low & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:45-16:00,63,85.71,507.38,376.43,420.0,305.0,437.22
3,cat_dist_ma20=far_below & flag_break_prev_low=break_prev_low & time_bucket_15m=10:00-10:15,49,85.71,96.33,-91.94,70.0,-70.0,3.06
3,flag_break_prev_high=no_break_prev_high & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:45-16:00,76,85.53,504.41,380.13,415.0,310.0,437.83
3,flag_hold_prev_high=hold_prev_high & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=15:45-16:00,76,85.53,504.41,380.13,415.0,310.0,437.83
3,flag_pullback_2bar=no_pullback_2bar & flag_pullback_vol_weak=pullback_vol_weak & time_bucket_15m=08:45-09:00,55,85.45,178.73,-159.0,130.0,-110.0,19.09
3,cat_dist_ma20=far_below & cat_rsi=rsi_midlow & cat_gap=gap_up,34,85.29,133.09,-94.26,117.5,-45.0,7.65
3,cat_dist_ma20=far_below & cat_rsi=rsi_midlow & cat_atr_ratio=atr_high,34,85.29,141.91,-103.09,125.0,-62.5,2.06
3,cat_vol_ratio=vol_spike & flag_pullback_vol_weak=pullback_vol_weak & time_bucket_15m=08:45-09:00,53,84.91,165.09,-150.09,130.0,-105.0,16.98
3,cat_dist_ma20=far_below & cat_atr_ratio=atr_high & time_bucket_15m=13:00-13:15,33,84.85,88.18,-145.3,75.0,-70.0,-44.55
3,cat_dist_ma20=far_below & cat_gap=gap_down & time_bucket_15m=10:00-10:15,46,84.78,103.7,-106.52,70.0,-45.0,-1.96
3,cat_dist_ma20=far_below & flag_hold_prev_low=break_prev_low & time_bucket_15m=10:00-10:15,65,84.62,99.15,-98.54,70.0,-55.0,1.77
3,flag_break_prev_high=no_break_prev_high & flag_pullback_vol_weak=pullback_vol_weak & time_bucket_15m=08:45-09:00,32,84.38,199.38,-185.31,137.5,-125.0,37.66
3,cat_dist_ma20=far_above & cat_gap=gap_down & time_bucket_15m=08:45-09:00,64,84.38,152.5,-119.22,115.0,-97.5,32.27
3,cat_dist_ma20=far_below & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=10:30-10:45,38,84.21,124.61,-77.89,85.0,-50.0,39.34
3,cat_dist_ma20=far_below & flag_pullback_vol_weak=pullback_vol_not_weak & time_bucket_15m=10:00-10:15,57,84.21,106.4,-87.19,70.0,-45.0,30.44
3,cat_vol_ratio=vol_high & time_bucket_15m=08:45-09:00 & weekday=Thursday,38,84.21,112.5,-71.97,90.0,-57.5,20.26
3,cat_vol_ratio=vol_high & cat_atr_ratio=atr_low & time_bucket_15m=08:45-09:00,63,84.13,109.13,-83.65,100.0,-45.0,32.78
3,cat_atr_ratio=atr_high & cat_prev_day_change=prev_down & time_bucket_15m=08:45-09:00,144,84.03,129.1,-95.31,92.5,-70.0,27.22
