feature,value,n,hit_rate_pct,avg_up_move,avg_down_move,median_up_move,median_down_move,avg_close_move
time_bucket_15m,14:45-15:00,2070,43.72,44.48,-43.44,30.0,-35.0,1.65
time_bucket_15m,15:00-15:15,2070,43.38,83.92,-93.46,30.0,-30.0,-8.14
time_bucket_15m,22:15-22:30,2073,42.98,47.37,-45.57,35.0,-30.0,2.74
cat_atr_ratio,atr_high,52742,41.93,50.59,-51.36,30.0,-30.0,0.75
time_bucket_15m,11:00-11:15,2070,41.69,43.64,-42.62,35.0,-30.0,2.3
time_bucket_15m,00:15-00:30,2073,41.29,42.65,-44.1,30.0,-30.0,2.12
time_bucket_15m,12:45-13:00,2070,41.26,40.76,-42.99,30.0,-30.0,-0.45
time_bucket_15m,00:00-00:15,2073,40.96,43.98,-46.04,30.0,-30.0,-0.77
cat_body_ratio,body_small,32938,40.86,46.93,-47.28,30.0,-30.0,0.84
time_bucket_15m,23:00-23:15,2070,40.82,42.69,-45.17,30.0,-30.0,-0.6
flag_pullback_vol_weak,pullback_vol_not_weak,59279,40.76,50.33,-52.03,30.0,-30.0,-0.28
time_bucket_15m,05:45-06:00,2073,40.38,61.91,-59.77,25.0,-25.0,2.1
cat_gap,gap_down,62678,39.95,47.3,-47.24,25.0,-30.0,0.61
cat_bb_ratio,bb_expand,71719,39.71,47.85,-48.6,30.0,-30.0,0.66
cat_vol_ratio,vol_high,27819,39.0,46.19,-48.13,30.0,-25.0,-0.7
flag_break_prev_low,break_prev_low,34707,38.34,46.17,-45.11,30.0,-25.0,2.08
time_bucket_15m,17:00-17:15,2073,38.25,38.53,-40.98,25.0,-30.0,-0.76
cat_rsi,rsi_low,47824,37.76,46.79,-45.43,30.0,-25.0,2.42
time_bucket_15m,14:15-14:30,2070,37.63,39.88,-39.83,30.0,-30.0,1.01
cat_prev_day_change,prev_big_up,32912,37.49,43.58,-44.71,25.0,-25.0,0.33
flag_hold_prev_low,break_prev_low,67749,37.47,44.36,-43.89,25.0,-25.0,1.65
