side,signal_time,entry_time,exit_time,year,month,pnl_pt,pnl_yen,result
long,2023-07-24 16:30:00,2023-07-24 16:35:00,2023-07-24 16:40:00,2023,7,117.8,1178,TP
short,2023-07-28 12:25:00,2023-07-28 12:30:00,2023-07-28 12:30:00,2023,7,-62.2,-622,SL
short,2023-07-28 12:30:00,2023-07-28 12:35:00,2023-07-28 12:35:00,2023,7,-62.2,-622,SL
short,2023-07-28 12:35:00,2023-07-28 12:40:00,2023-07-28 12:40:00,2023,7,117.8,1178,TP
short,2023-07-28 14:50:00,2023-07-28 14:55:00,2023-07-28 16:30:00,2023,7,-62.2,-622,SL
long,2023-07-31 16:30:00,2023-07-31 16:35:00,2023-07-31 16:45:00,2023,7,-62.2,-622,SL
long,2023-10-02 13:30:00,2023-10-02 13:35:00,2023-10-02 13:45:00,2023,10,37.8,378,TIME
short,2023-10-13 09:15:00,2023-10-13 09:20:00,2023-10-13 09:25:00,2023,10,117.8,1178,TP
short,2023-10-31 12:30:00,2023-10-31 12:35:00,2023-10-31 12:35:00,2023,10,117.8,1178,TP
short,2023-12-14 09:00:00,2023-12-14 09:05:00,2023-12-14 09:15:00,2023,12,117.8,1178,TP
short,2023-12-19 11:50:00,2023-12-19 11:55:00,2023-12-19 12:20:00,2023,12,-12.2,-122,TIME
long,2023-12-20 16:30:00,2023-12-20 16:35:00,2023-12-20 16:45:00,2023,12,117.8,1178,TP
long,2024-01-03 08:45:00,2024-01-03 08:50:00,2024-01-03 09:00:00,2024,1,17.8,178,TIME
long,2024-01-04 09:00:00,2024-01-04 09:05:00,2024-01-04 09:05:00,2024,1,-62.2,-622,SL
short,2024-01-12 00:00:00,2024-01-12 00:05:00,2024-01-12 00:30:00,2024,1,87.8,878,TIME
short,2024-01-12 00:05:00,2024-01-12 00:10:00,2024-01-12 00:20:00,2024,1,-62.2,-622,SL
short,2024-02-14 16:30:00,2024-02-14 16:35:00,2024-02-14 17:00:00,2024,2,-62.2,-622,SL
long,2024-03-07 10:50:00,2024-03-07 10:55:00,2024-03-07 10:55:00,2024,3,-62.2,-622,SL
long,2024-03-11 18:45:00,2024-03-11 18:50:00,2024-03-11 19:00:00,2024,3,117.8,1178,TP
short,2024-03-19 12:40:00,2024-03-19 12:45:00,2024-03-19 12:45:00,2024,3,117.8,1178,TP
long,2024-04-03 09:05:00,2024-04-03 09:10:00,2024-04-03 09:10:00,2024,4,-62.2,-622,SL
long,2024-04-29 17:00:00,2024-04-29 17:05:00,2024-04-29 17:10:00,2024,4,117.8,1178,TP
short,2024-05-30 16:30:00,2024-05-30 16:35:00,2024-05-30 16:40:00,2024,5,-62.2,-622,SL
long,2024-07-12 00:05:00,2024-07-12 00:10:00,2024-07-12 00:10:00,2024,7,-62.2,-622,SL
short,2024-07-18 16:30:00,2024-07-18 16:35:00,2024-07-18 17:00:00,2024,7,117.8,1178,TP
long,2024-07-29 16:30:00,2024-07-29 16:35:00,2024-07-29 16:45:00,2024,7,-22.2,-222,TIME
short,2024-07-31 14:40:00,2024-07-31 14:45:00,2024-07-31 14:45:00,2024,7,-62.2,-622,SL
short,2024-08-01 16:35:00,2024-08-01 16:40:00,2024-08-01 16:50:00,2024,8,117.8,1178,TP
long,2024-08-05 08:50:00,2024-08-05 08:55:00,2024-08-05 08:55:00,2024,8,-62.2,-622,SL
