datetime,close,volume,vol_ratio,rsi14,ma20_slope,ma50_slope,upper_wick_ratio,lower_wick_ratio,body_ratio,dist_ma20_pct,dist_ma50_pct
2023-07-28 04:40:00,32455,669,1.799354491662184,24.637681159420282,-17.0,-14.30000000000291,0.26666666666666666,0.06666666666666667,0.6666666666666666,-0.5004866907329486,-1.2598458734799478
2023-07-28 08:55:00,32405,1470,3.0564507745087846,34.72222222222223,-5.0,-10.299999999999272,0.07142857142857142,0.5,0.42857142857142855,-0.33140844745522813,-0.6618456265768291
2023-07-28 13:05:00,32065,3551,1.8408024675358337,38.26086956521739,-18.0,-6.799999999999272,0.45,0.2,0.35,-1.00416020253008,-1.0547169112655297
2023-08-04 17:40:00,31665,2224,1.7064375047955191,29.885057471264375,-25.5,-9.700000000000728,0.10526315789473684,0.05263157894736842,0.8421052631578947,-0.6603817979325854,-1.1519011050758587
2023-08-14 10:00:00,32280,3241,1.867850041783131,37.14285714285714,-9.5,-3.900000000001455,0.0,0.058823529411764705,0.9411764705882353,-0.554528650646946,-0.5762756759919996
2023-08-16 09:40:00,31795,3858,2.7400568181818183,36.170212765957444,-6.5,-3.099999999998545,0.0,0.6428571428571429,0.35714285714285715,-0.34945857427169935,-0.42248801280304615
2023-08-18 08:45:00,31305,1647,7.154648132059079,18.181818181818187,-3.75,-6.299999999999272,0.5,0.16666666666666666,0.3333333333333333,-0.14115170219383133,-0.4094331879479718
2023-08-22 23:30:00,31625,558,1.559748427672956,45.31250000000001,-3.25,-1.8999999999978172,0.2,0.6,0.2,-0.17912520615180894,-0.22148464120750333
2023-08-23 08:50:00,31695,885,5.269425424233403,23.80952380952381,-3.5,-1.3999999999978172,0.2,0.0,0.8,-0.154359879032262,-0.21785532139956265
2023-08-23 08:55:00,31705,484,2.579957356076759,23.80952380952381,-1.75,-1.7000000000007276,0.25,0.25,0.5,-0.11735147949499813,-0.18103109012199692
2023-08-23 23:30:00,31810,910,2.1299005266237567,17.777777777777786,-8.25,-3.1999999999970896,0.0,0.2,0.8,-0.31181936413920974,-0.4425471184361318
2023-08-25 10:35:00,31645,3037,1.8880358086475397,30.769230769230774,-5.25,-1.7999999999992724,0.0,0.05,0.95,-0.3730697183874532,-0.2779423442955675
2023-08-31 23:25:00,32200,1065,2.8211920529801326,34.0,-5.25,-1.2000000000007276,0.0,0.25,0.75,-0.2717748991490576,-0.27131158711083403
2023-09-07 10:40:00,33105,1227,2.8465375246491127,22.388059701492523,-5.5,-0.09999999999854481,0.0,0.08695652173913043,0.9130434782608695,-0.4607879248006097,-0.18783560916928455
2023-09-08 09:10:00,32580,2395,4.268021028245568,36.84210526315789,-4.75,-1.1000000000021828,0.3125,0.375,0.3125,-0.26174404187904177,-0.21775682901953308
2023-09-08 09:35:00,32340,4303,2.849102827252864,24.8062015503876,-16.0,-5.799999999999272,0.0,0.42105263157894735,0.5789473684210527,-0.8652070289449698,-0.9115281501340444
2023-09-08 09:40:00,32315,2749,1.6695514864413472,20.930232558139537,-17.0,-6.5,0.6153846153846154,0.15384615384615385,0.23076923076923078,-0.8901940638394112,-0.9684042781404223
2023-09-11 08:50:00,32430,891,4.501136650669361,26.470588235294116,-3.75,-1.6000000000021828,0.25,0.75,0.0,-0.2491464427424539,-0.23410990552541477
2023-09-14 09:20:00,32670,2119,2.717189203051869,57.44680851063829,1.75,-0.09999999999854481,0.45454545454545453,0.45454545454545453,0.09090909090909091,0.0,0.06064281382656134
2023-09-19 08:50:00,33005,805,4.916030534351145,26.92307692307692,-1.25,-1.3000000000029104,0.25,0.25,0.5,-0.1542836398838343,-0.14854435607080108
