datetime,open,high,low,close,volume
2025-12-30 00:00:00,50365.0,50410.0,50350.0,50355.0,2943
2025-12-30 00:05:00,50355.0,50380.0,50300.0,50305.0,3481
2025-12-30 00:10:00,50300.0,50320.0,50280.0,50305.0,3598
2025-12-30 00:15:00,50310.0,50335.0,50305.0,50315.0,1888
2025-12-30 00:20:00,50320.0,50365.0,50315.0,50365.0,1972
2025-12-30 00:25:00,50370.0,50415.0,50360.0,50410.0,2595
2025-12-30 00:30:00,50410.0,50450.0,50405.0,50440.0,2345
2025-12-30 00:35:00,50440.0,50465.0,50405.0,50425.0,2479
2025-12-30 00:40:00,50425.0,50430.0,50400.0,50420.0,1113
2025-12-30 00:45:00,50415.0,50420.0,50350.0,50360.0,1486
2025-12-30 00:50:00,50360.0,50360.0,50320.0,50340.0,1423
2025-12-30 00:55:00,50335.0,50360.0,50315.0,50325.0,1111
2025-12-30 01:00:00,50330.0,50345.0,50330.0,50335.0,787
2025-12-30 01:05:00,50340.0,50360.0,50330.0,50335.0,573
2025-12-30 01:10:00,50335.0,50350.0,50335.0,50345.0,589
2025-12-30 01:15:00,50340.0,50340.0,50310.0,50320.0,1304
2025-12-30 01:20:00,50320.0,50335.0,50305.0,50320.0,1025
2025-12-30 01:25:00,50325.0,50345.0,50300.0,50330.0,1445
2025-12-30 01:30:00,50325.0,50345.0,50305.0,50305.0,734
2025-12-30 01:35:00,50305.0,50315.0,50280.0,50285.0,1748
2025-12-30 01:40:00,50285.0,50300.0,50270.0,50295.0,1087
2025-12-30 01:45:00,50295.0,50315.0,50295.0,50305.0,513
2025-12-30 01:50:00,50305.0,50320.0,50295.0,50315.0,584
2025-12-30 01:55:00,50320.0,50325.0,50300.0,50305.0,412
2025-12-30 02:00:00,50305.0,50320.0,50300.0,50315.0,274
2025-12-30 02:05:00,50310.0,50310.0,50295.0,50295.0,241
2025-12-30 02:10:00,50295.0,50305.0,50285.0,50285.0,524
2025-12-30 02:15:00,50290.0,50300.0,50275.0,50295.0,477
2025-12-30 02:20:00,50295.0,50295.0,50280.0,50290.0,276
2025-12-30 02:25:00,50280.0,50285.0,50250.0,50260.0,1532
2025-12-30 02:30:00,50260.0,50280.0,50250.0,50275.0,813
2025-12-30 02:35:00,50280.0,50290.0,50265.0,50270.0,338
2025-12-30 02:40:00,50270.0,50285.0,50270.0,50285.0,212
2025-12-30 02:45:00,50285.0,50300.0,50285.0,50295.0,296
2025-12-30 02:50:00,50300.0,50325.0,50300.0,50320.0,381
2025-12-30 02:55:00,50320.0,50325.0,50315.0,50320.0,295
2025-12-30 03:00:00,50315.0,50315.0,50305.0,50310.0,371
2025-12-30 03:05:00,50305.0,50315.0,50300.0,50310.0,207
2025-12-30 03:10:00,50310.0,50310.0,50295.0,50300.0,221
2025-12-30 03:15:00,50305.0,50315.0,50305.0,50310.0,175
2025-12-30 03:20:00,50310.0,50330.0,50310.0,50330.0,284
2025-12-30 03:25:00,50330.0,50330.0,50315.0,50325.0,206
2025-12-30 03:30:00,50330.0,50340.0,50325.0,50340.0,338
2025-12-30 03:35:00,50340.0,50365.0,50340.0,50355.0,502
2025-12-30 03:40:00,50355.0,50355.0,50335.0,50335.0,316
2025-12-30 03:45:00,50335.0,50335.0,50315.0,50320.0,287
2025-12-30 03:50:00,50315.0,50330.0,50315.0,50320.0,149
2025-12-30 03:55:00,50320.0,50320.0,50310.0,50310.0,143
2025-12-30 04:00:00,50310.0,50310.0,50295.0,50305.0,180
2025-12-30 04:05:00,50300.0,50310.0,50300.0,50310.0,162
2025-12-30 04:10:00,50305.0,50310.0,50300.0,50305.0,111
2025-12-30 04:15:00,50310.0,50320.0,50310.0,50315.0,111
2025-12-30 04:20:00,50320.0,50350.0,50320.0,50350.0,384
2025-12-30 04:25:00,50345.0,50360.0,50340.0,50355.0,167
2025-12-30 04:30:00,50355.0,50375.0,50350.0,50375.0,445
2025-12-30 04:35:00,50375.0,50385.0,50360.0,50360.0,629
2025-12-30 04:40:00,50360.0,50380.0,50360.0,50375.0,302
2025-12-30 04:45:00,50375.0,50390.0,50370.0,50385.0,243
2025-12-30 04:50:00,50380.0,50390.0,50380.0,50385.0,205
2025-12-30 04:55:00,50385.0,50400.0,50385.0,50390.0,263
2025-12-30 05:00:00,50390.0,50390.0,50365.0,50370.0,354
2025-12-30 05:05:00,50365.0,50370.0,50360.0,50365.0,111
2025-12-30 05:10:00,50370.0,50375.0,50365.0,50375.0,326
2025-12-30 05:15:00,50375.0,50380.0,50370.0,50370.0,149
2025-12-30 05:20:00,50370.0,50370.0,50355.0,50370.0,182
2025-12-30 05:25:00,50370.0,50370.0,50360.0,50365.0,151
2025-12-30 05:30:00,50365.0,50380.0,50360.0,50370.0,260
2025-12-30 05:35:00,50375.0,50385.0,50370.0,50370.0,331
2025-12-30 05:40:00,50375.0,50380.0,50360.0,50370.0,317
2025-12-30 05:45:00,50370.0,50380.0,50370.0,50375.0,290
2025-12-30 05:50:00,50375.0,50385.0,50350.0,50355.0,654
2025-12-30 05:55:00,50355.0,50355.0,50355.0,50355.0,0
2025-12-30 06:00:00,50315.0,50315.0,50315.0,50315.0,1465
2025-12-30 08:45:00,50280.0,50330.0,50240.0,50290.0,5613
2025-12-30 08:50:00,50295.0,50325.0,50280.0,50320.0,2200
2025-12-30 08:55:00,50325.0,50355.0,50315.0,50345.0,2798
2025-12-30 09:00:00,50340.0,50440.0,50325.0,50355.0,11122
2025-12-30 09:05:00,50355.0,50420.0,50290.0,50310.0,7174
2025-12-30 09:10:00,50310.0,50405.0,50300.0,50360.0,5632
2025-12-30 09:15:00,50355.0,50400.0,50255.0,50290.0,5928
2025-12-30 09:20:00,50295.0,50320.0,50260.0,50300.0,3576
2025-12-30 09:25:00,50300.0,50355.0,50285.0,50355.0,3667
2025-12-30 09:30:00,50355.0,50370.0,50285.0,50290.0,3451
2025-12-30 09:35:00,50285.0,50355.0,50270.0,50350.0,2883
2025-12-30 09:40:00,50355.0,50390.0,50355.0,50380.0,2978
2025-12-30 09:45:00,50380.0,50465.0,50365.0,50460.0,5631
2025-12-30 09:50:00,50460.0,50510.0,50430.0,50490.0,5395
2025-12-30 09:55:00,50485.0,50530.0,50475.0,50515.0,3397
2025-12-30 10:00:00,50525.0,50530.0,50465.0,50490.0,3391
2025-12-30 10:05:00,50485.0,50485.0,50445.0,50470.0,2422
2025-12-30 10:10:00,50470.0,50510.0,50455.0,50500.0,1885
