combo,n,win_rate,pnl,pf
bb3_touch_15m + macd_hist_up_2_15m + break_prev_high,2,100.0,196.0,0.0
bb3_touch_15m + macd_hist_up_2_15m + break_2bar_high,2,100.0,196.0,0.0
bb3_touch_60m + macd_above_signal_15m + break_prev_high,2,100.0,106.0,0.0
bb3_touch_60m + macd_above_signal_15m + break_2bar_high,2,100.0,106.0,0.0
bb3_touch_60m + macd_positive_15m + break_prev_high,2,100.0,106.0,0.0
bb3_touch_60m + macd_positive_15m + break_2bar_high,2,100.0,106.0,0.0
bb3_touch_60m + macd_positive_30m + break_prev_high,2,100.0,106.0,0.0
bb3_touch_60m + macd_positive_30m + break_2bar_high,2,100.0,106.0,0.0
bb3_touch_60m + macd_positive_60m + break_prev_high,2,100.0,106.0,0.0
bb3_touch_60m + macd_positive_60m + break_2bar_high,2,100.0,106.0,0.0
bb3_touch_60m + macd_hist_up_15m + break_prev_high,1,100.0,98.0,0.0
bb3_touch_60m + macd_hist_up_15m + break_2bar_high,1,100.0,98.0,0.0
bb3_touch_60m + macd_hist_up_30m + break_prev_high,1,100.0,98.0,0.0
bb3_touch_60m + macd_hist_up_30m + break_2bar_high,1,100.0,98.0,0.0
bb3_touch_60m + macd_above_signal_30m + break_prev_high,1,100.0,8.0,0.0
bb3_touch_60m + macd_above_signal_30m + break_2bar_high,1,100.0,8.0,0.0
bb3_touch_60m + macd_above_signal_60m + break_prev_high,1,100.0,8.0,0.0
bb3_touch_60m + macd_above_signal_60m + break_2bar_high,1,100.0,8.0,0.0
bb2_touch_15m + macd_hist_up_2_30m + break_prev_high,0,0.0,0.0,0.0
bb2_touch_15m + macd_hist_up_2_30m + break_2bar_high,0,0.0,0.0,0.0
bb2_touch_15m + macd_hist_up_2_60m + break_prev_high,0,0.0,0.0,0.0
bb2_touch_15m + macd_hist_up_2_60m + break_2bar_high,0,0.0,0.0,0.0
bb3_touch_15m + macd_hist_up_2_30m + break_prev_high,0,0.0,0.0,0.0
bb3_touch_15m + macd_hist_up_2_30m + break_2bar_high,0,0.0,0.0,0.0
bb3_touch_15m + macd_hist_up_2_60m + break_prev_high,0,0.0,0.0,0.0
bb3_touch_15m + macd_hist_up_2_60m + break_2bar_high,0,0.0,0.0,0.0
bb_upper_zone_15m + macd_hist_up_2_30m + break_prev_high,0,0.0,0.0,0.0
bb_upper_zone_15m + macd_hist_up_2_30m + break_2bar_high,0,0.0,0.0,0.0
bb_upper_zone_15m + macd_hist_up_2_60m + break_prev_high,0,0.0,0.0,0.0
bb_upper_zone_15m + macd_hist_up_2_60m + break_2bar_high,0,0.0,0.0,0.0
bb_width_expand_15m + macd_hist_up_2_30m + break_prev_high,0,0.0,0.0,0.0
bb_width_expand_15m + macd_hist_up_2_30m + break_2bar_high,0,0.0,0.0,0.0
bb_width_expand_15m + macd_hist_up_2_60m + break_prev_high,0,0.0,0.0,0.0
bb_width_expand_15m + macd_hist_up_2_60m + break_2bar_high,0,0.0,0.0,0.0
bb_pullback_zone_15m + macd_hist_up_2_15m + break_prev_high,0,0.0,0.0,0.0
bb_pullback_zone_15m + macd_hist_up_2_15m + break_2bar_high,0,0.0,0.0,0.0
bb_pullback_zone_15m + macd_hist_up_2_30m + break_prev_high,0,0.0,0.0,0.0
bb_pullback_zone_15m + macd_hist_up_2_30m + break_2bar_high,0,0.0,0.0,0.0
bb_pullback_zone_15m + macd_hist_up_2_60m + break_prev_high,0,0.0,0.0,0.0
bb_pullback_zone_15m + macd_hist_up_2_60m + break_2bar_high,0,0.0,0.0,0.0
bb2_touch_30m + macd_above_signal_15m + break_prev_high,0,0.0,0.0,0.0
bb2_touch_30m + macd_above_signal_15m + break_2bar_high,0,0.0,0.0,0.0
bb2_touch_30m + macd_golden_cross_15m + break_prev_high,0,0.0,0.0,0.0
bb2_touch_30m + macd_golden_cross_15m + break_2bar_high,0,0.0,0.0,0.0
bb2_touch_30m + macd_hist_up_15m + break_prev_high,0,0.0,0.0,0.0
bb2_touch_30m + macd_hist_up_15m + break_2bar_high,0,0.0,0.0,0.0
bb2_touch_30m + macd_hist_up_2_15m + break_prev_high,0,0.0,0.0,0.0
bb2_touch_30m + macd_hist_up_2_15m + break_2bar_high,0,0.0,0.0,0.0
bb2_touch_30m + macd_positive_15m + break_prev_high,0,0.0,0.0,0.0
bb2_touch_30m + macd_positive_15m + break_2bar_high,0,0.0,0.0,0.0
bb2_touch_30m + macd_above_signal_30m + break_prev_high,0,0.0,0.0,0.0
bb2_touch_30m + macd_above_signal_30m + break_2bar_high,0,0.0,0.0,0.0
bb2_touch_30m + macd_golden_cross_30m + break_prev_high,0,0.0,0.0,0.0
bb2_touch_30m + macd_golden_cross_30m + break_2bar_high,0,0.0,0.0,0.0
bb2_touch_30m + macd_hist_up_30m + break_prev_high,0,0.0,0.0,0.0
bb2_touch_30m + macd_hist_up_30m + break_2bar_high,0,0.0,0.0,0.0
bb2_touch_30m + macd_hist_up_2_30m + break_prev_high,0,0.0,0.0,0.0
bb2_touch_30m + macd_hist_up_2_30m + break_2bar_high,0,0.0,0.0,0.0
bb2_touch_30m + macd_positive_30m + break_prev_high,0,0.0,0.0,0.0
bb2_touch_30m + macd_positive_30m + break_2bar_high,0,0.0,0.0,0.0
bb2_touch_30m + macd_above_signal_60m + break_prev_high,0,0.0,0.0,0.0
bb2_touch_30m + macd_above_signal_60m + break_2bar_high,0,0.0,0.0,0.0
bb2_touch_30m + macd_golden_cross_60m + break_prev_high,0,0.0,0.0,0.0
bb2_touch_30m + macd_golden_cross_60m + break_2bar_high,0,0.0,0.0,0.0
bb2_touch_30m + macd_hist_up_60m + break_prev_high,0,0.0,0.0,0.0
bb2_touch_30m + macd_hist_up_60m + break_2bar_high,0,0.0,0.0,0.0
bb2_touch_30m + macd_hist_up_2_60m + break_prev_high,0,0.0,0.0,0.0
bb2_touch_30m + macd_hist_up_2_60m + break_2bar_high,0,0.0,0.0,0.0
bb2_touch_30m + macd_positive_60m + break_prev_high,0,0.0,0.0,0.0
bb2_touch_30m + macd_positive_60m + break_2bar_high,0,0.0,0.0,0.0
bb3_touch_30m + macd_above_signal_15m + break_prev_high,0,0.0,0.0,0.0
bb3_touch_30m + macd_above_signal_15m + break_2bar_high,0,0.0,0.0,0.0
bb3_touch_30m + macd_golden_cross_15m + break_prev_high,0,0.0,0.0,0.0
bb3_touch_30m + macd_golden_cross_15m + break_2bar_high,0,0.0,0.0,0.0
bb3_touch_30m + macd_hist_up_15m + break_prev_high,0,0.0,0.0,0.0
bb3_touch_30m + macd_hist_up_15m + break_2bar_high,0,0.0,0.0,0.0
bb3_touch_30m + macd_hist_up_2_15m + break_prev_high,0,0.0,0.0,0.0
bb3_touch_30m + macd_hist_up_2_15m + break_2bar_high,0,0.0,0.0,0.0
bb3_touch_30m + macd_positive_15m + break_prev_high,0,0.0,0.0,0.0
bb3_touch_30m + macd_positive_15m + break_2bar_high,0,0.0,0.0,0.0
bb3_touch_30m + macd_above_signal_30m + break_prev_high,0,0.0,0.0,0.0
bb3_touch_30m + macd_above_signal_30m + break_2bar_high,0,0.0,0.0,0.0
bb3_touch_30m + macd_golden_cross_30m + break_prev_high,0,0.0,0.0,0.0
bb3_touch_30m + macd_golden_cross_30m + break_2bar_high,0,0.0,0.0,0.0
bb3_touch_30m + macd_hist_up_30m + break_prev_high,0,0.0,0.0,0.0
bb3_touch_30m + macd_hist_up_30m + break_2bar_high,0,0.0,0.0,0.0
bb3_touch_30m + macd_hist_up_2_30m + break_prev_high,0,0.0,0.0,0.0
bb3_touch_30m + macd_hist_up_2_30m + break_2bar_high,0,0.0,0.0,0.0
bb3_touch_30m + macd_positive_30m + break_prev_high,0,0.0,0.0,0.0
bb3_touch_30m + macd_positive_30m + break_2bar_high,0,0.0,0.0,0.0
bb3_touch_30m + macd_above_signal_60m + break_prev_high,0,0.0,0.0,0.0
bb3_touch_30m + macd_above_signal_60m + break_2bar_high,0,0.0,0.0,0.0
bb3_touch_30m + macd_golden_cross_60m + break_prev_high,0,0.0,0.0,0.0
bb3_touch_30m + macd_golden_cross_60m + break_2bar_high,0,0.0,0.0,0.0
bb3_touch_30m + macd_hist_up_60m + break_prev_high,0,0.0,0.0,0.0
bb3_touch_30m + macd_hist_up_60m + break_2bar_high,0,0.0,0.0,0.0
bb3_touch_30m + macd_hist_up_2_60m + break_prev_high,0,0.0,0.0,0.0
bb3_touch_30m + macd_hist_up_2_60m + break_2bar_high,0,0.0,0.0,0.0
bb3_touch_30m + macd_positive_60m + break_prev_high,0,0.0,0.0,0.0
bb3_touch_30m + macd_positive_60m + break_2bar_high,0,0.0,0.0,0.0
bb_upper_zone_30m + macd_hist_up_2_30m + break_prev_high,0,0.0,0.0,0.0
bb_upper_zone_30m + macd_hist_up_2_30m + break_2bar_high,0,0.0,0.0,0.0
bb_upper_zone_30m + macd_hist_up_2_60m + break_prev_high,0,0.0,0.0,0.0
bb_upper_zone_30m + macd_hist_up_2_60m + break_2bar_high,0,0.0,0.0,0.0
bb_width_expand_30m + macd_hist_up_2_15m + break_prev_high,0,0.0,0.0,0.0
bb_width_expand_30m + macd_hist_up_2_15m + break_2bar_high,0,0.0,0.0,0.0
bb_width_expand_30m + macd_hist_up_2_30m + break_prev_high,0,0.0,0.0,0.0
bb_width_expand_30m + macd_hist_up_2_30m + break_2bar_high,0,0.0,0.0,0.0
bb_width_expand_30m + macd_hist_up_2_60m + break_prev_high,0,0.0,0.0,0.0
bb_width_expand_30m + macd_hist_up_2_60m + break_2bar_high,0,0.0,0.0,0.0
bb_pullback_zone_30m + macd_hist_up_2_30m + break_prev_high,0,0.0,0.0,0.0
bb_pullback_zone_30m + macd_hist_up_2_30m + break_2bar_high,0,0.0,0.0,0.0
bb_pullback_zone_30m + macd_hist_up_2_60m + break_prev_high,0,0.0,0.0,0.0
bb_pullback_zone_30m + macd_hist_up_2_60m + break_2bar_high,0,0.0,0.0,0.0
bb2_touch_60m + macd_hist_up_2_30m + break_prev_high,0,0.0,0.0,0.0
bb2_touch_60m + macd_hist_up_2_30m + break_2bar_high,0,0.0,0.0,0.0
bb2_touch_60m + macd_hist_up_2_60m + break_prev_high,0,0.0,0.0,0.0
bb2_touch_60m + macd_hist_up_2_60m + break_2bar_high,0,0.0,0.0,0.0
bb3_touch_60m + macd_golden_cross_15m + break_prev_high,0,0.0,0.0,0.0
bb3_touch_60m + macd_golden_cross_15m + break_2bar_high,0,0.0,0.0,0.0
bb3_touch_60m + macd_hist_up_2_15m + break_prev_high,0,0.0,0.0,0.0
bb3_touch_60m + macd_hist_up_2_15m + break_2bar_high,0,0.0,0.0,0.0
bb3_touch_60m + macd_golden_cross_30m + break_prev_high,0,0.0,0.0,0.0
bb3_touch_60m + macd_golden_cross_30m + break_2bar_high,0,0.0,0.0,0.0
bb3_touch_60m + macd_hist_up_2_30m + break_prev_high,0,0.0,0.0,0.0
bb3_touch_60m + macd_hist_up_2_30m + break_2bar_high,0,0.0,0.0,0.0
bb3_touch_60m + macd_golden_cross_60m + break_prev_high,0,0.0,0.0,0.0
bb3_touch_60m + macd_golden_cross_60m + break_2bar_high,0,0.0,0.0,0.0
bb3_touch_60m + macd_hist_up_60m + break_prev_high,0,0.0,0.0,0.0
bb3_touch_60m + macd_hist_up_60m + break_2bar_high,0,0.0,0.0,0.0
bb3_touch_60m + macd_hist_up_2_60m + break_prev_high,0,0.0,0.0,0.0
bb3_touch_60m + macd_hist_up_2_60m + break_2bar_high,0,0.0,0.0,0.0
bb_upper_zone_60m + macd_hist_up_2_30m + break_prev_high,0,0.0,0.0,0.0
bb_upper_zone_60m + macd_hist_up_2_30m + break_2bar_high,0,0.0,0.0,0.0
bb_upper_zone_60m + macd_hist_up_2_60m + break_prev_high,0,0.0,0.0,0.0
bb_upper_zone_60m + macd_hist_up_2_60m + break_2bar_high,0,0.0,0.0,0.0
bb_width_expand_60m + macd_hist_up_2_15m + break_prev_high,0,0.0,0.0,0.0
bb_width_expand_60m + macd_hist_up_2_15m + break_2bar_high,0,0.0,0.0,0.0
bb_width_expand_60m + macd_hist_up_2_30m + break_prev_high,0,0.0,0.0,0.0
bb_width_expand_60m + macd_hist_up_2_30m + break_2bar_high,0,0.0,0.0,0.0
bb_width_expand_60m + macd_hist_up_2_60m + break_prev_high,0,0.0,0.0,0.0
bb_width_expand_60m + macd_hist_up_2_60m + break_2bar_high,0,0.0,0.0,0.0
bb_pullback_zone_60m + macd_hist_up_2_30m + break_prev_high,0,0.0,0.0,0.0
bb_pullback_zone_60m + macd_hist_up_2_30m + break_2bar_high,0,0.0,0.0,0.0
bb_pullback_zone_60m + macd_hist_up_2_60m + break_prev_high,0,0.0,0.0,0.0
bb_pullback_zone_60m + macd_hist_up_2_60m + break_2bar_high,0,0.0,0.0,0.0
