combo,n,win_rate,pnl,pf
bb_upper_zone_15m + macd_hist_up_30m + break_2bar_high,135,33.33,-1480.0,0.656
bb_upper_zone_30m + macd_hist_up_15m + break_2bar_high,182,34.07,-1924.0,0.653
bb_upper_zone_30m + macd_golden_cross_60m + break_2bar_high,20,35.0,-190.0,0.652
bb_upper_zone_15m + macd_golden_cross_15m + break_2bar_high,33,30.3,-386.0,0.651
bb_width_expand_15m + macd_hist_up_30m + break_prev_high,204,33.82,-2403.0,0.643
bb_width_expand_60m + macd_hist_up_60m + break_prev_high,207,32.37,-2339.0,0.637
bb_upper_zone_15m + macd_hist_up_60m + break_2bar_high,112,30.36,-1334.0,0.633
bb_pullback_zone_30m + macd_golden_cross_15m + break_2bar_high,45,31.11,-570.0,0.625
bb_pullback_zone_30m + macd_hist_up_30m + break_prev_high,240,32.08,-2965.0,0.622
bb_width_expand_30m + macd_hist_up_60m + break_prev_high,209,31.58,-2518.0,0.619
bb_upper_zone_15m + macd_golden_cross_60m + break_2bar_high,21,33.33,-222.0,0.616
bb_width_expand_15m + macd_hist_up_30m + break_2bar_high,173,32.95,-2181.0,0.616
bb_upper_zone_30m + macd_hist_up_15m + break_prev_high,199,33.17,-2408.0,0.612
bb_pullback_zone_30m + macd_hist_up_30m + break_2bar_high,205,31.71,-2600.0,0.61
bb_width_expand_60m + macd_hist_up_15m + break_2bar_high,128,28.91,-1701.0,0.604
bb_pullback_zone_60m + macd_hist_up_60m + break_prev_high,209,29.19,-2728.0,0.602
bb_width_expand_60m + macd_positive_30m + break_prev_high,252,30.95,-3269.0,0.6
bb2_touch_15m + macd_hist_up_2_15m + break_prev_high,8,25.0,-131.0,0.599
bb2_touch_15m + macd_hist_up_2_15m + break_2bar_high,8,25.0,-131.0,0.599
bb_upper_zone_15m + macd_hist_up_2_15m + break_prev_high,8,25.0,-131.0,0.599
bb_upper_zone_15m + macd_hist_up_2_15m + break_2bar_high,8,25.0,-131.0,0.599
bb_pullback_zone_30m + macd_hist_up_2_15m + break_prev_high,8,25.0,-131.0,0.599
bb_pullback_zone_30m + macd_hist_up_2_15m + break_2bar_high,8,25.0,-131.0,0.599
bb_upper_zone_60m + macd_hist_up_60m + break_2bar_high,146,30.82,-1887.0,0.597
bb_width_expand_15m + macd_golden_cross_60m + break_2bar_high,21,33.33,-242.0,0.595
bb_width_expand_60m + macd_positive_15m + break_prev_high,256,31.25,-3397.0,0.593
bb_width_expand_60m + macd_positive_60m + break_prev_high,269,30.86,-3558.0,0.593
bb_pullback_zone_15m + macd_golden_cross_15m + break_2bar_high,23,30.43,-346.0,0.589
bb_width_expand_15m + macd_hist_up_60m + break_2bar_high,138,29.71,-1941.0,0.587
bb_width_expand_60m + macd_above_signal_60m + break_prev_high,239,30.54,-3243.0,0.587
bb_upper_zone_30m + macd_golden_cross_60m + break_prev_high,21,33.33,-252.0,0.586
bb_width_expand_15m + macd_hist_up_15m + break_2bar_high,247,30.36,-3714.0,0.582
bb_width_expand_60m + macd_above_signal_30m + break_prev_high,259,30.89,-3553.0,0.581
bb_upper_zone_15m + macd_golden_cross_60m + break_prev_high,23,34.78,-271.0,0.577
bb_pullback_zone_30m + macd_hist_up_60m + break_prev_high,250,30.0,-3505.0,0.575
bb_width_expand_60m + macd_golden_cross_60m + break_2bar_high,19,31.58,-233.0,0.573
bb_width_expand_15m + macd_hist_up_15m + break_prev_high,269,30.11,-4173.0,0.572
bb_width_expand_30m + macd_positive_60m + break_prev_high,415,31.33,-5435.0,0.57
bb_width_expand_30m + macd_positive_30m + break_prev_high,398,31.16,-5221.0,0.569
bb_upper_zone_30m + macd_hist_up_60m + break_prev_high,154,32.47,-2148.0,0.568
bb_pullback_zone_60m + macd_hist_up_30m + break_2bar_high,159,30.19,-2278.0,0.568
bb_pullback_zone_60m + macd_hist_up_30m + break_prev_high,186,30.11,-2702.0,0.568
bb_width_expand_30m + macd_positive_60m + break_2bar_high,345,31.3,-4575.0,0.561
bb_width_expand_30m + macd_positive_30m + break_2bar_high,328,31.1,-4361.0,0.56
bb_width_expand_15m + macd_golden_cross_60m + break_prev_high,23,34.78,-291.0,0.559
bb2_touch_15m + macd_above_signal_15m + break_2bar_high,176,32.95,-2637.0,0.559
bb_upper_zone_60m + macd_hist_up_15m + break_2bar_high,246,30.08,-3752.0,0.556
bb_width_expand_30m + macd_above_signal_60m + break_2bar_high,296,30.41,-4022.0,0.554
bb_width_expand_60m + macd_above_signal_15m + break_2bar_high,146,31.51,-2042.0,0.553
bb2_touch_15m + macd_hist_up_15m + break_2bar_high,118,30.51,-1956.0,0.552
bb_width_expand_30m + macd_above_signal_60m + break_prev_high,359,30.36,-4938.0,0.552
bb_pullback_zone_15m + macd_hist_up_30m + break_prev_high,170,30.0,-2520.0,0.551
bb_width_expand_30m + macd_positive_15m + break_prev_high,401,31.17,-5502.0,0.551
bb_upper_zone_60m + macd_hist_up_15m + break_prev_high,269,30.48,-4088.0,0.55
bb_width_expand_30m + macd_above_signal_30m + break_prev_high,398,30.9,-5526.0,0.546
bb2_touch_15m + macd_positive_30m + break_2bar_high,218,29.82,-3586.0,0.544
bb_width_expand_15m + macd_above_signal_30m + break_prev_high,426,30.52,-6817.0,0.543
bb_width_expand_15m + macd_positive_60m + break_prev_high,471,30.36,-7597.0,0.543
bb_width_expand_15m + macd_above_signal_15m + break_prev_high,357,31.37,-5559.0,0.542
bb_upper_zone_30m + macd_golden_cross_30m + break_prev_high,23,34.78,-376.0,0.539
bb_upper_zone_30m + macd_golden_cross_30m + break_2bar_high,23,34.78,-376.0,0.539
bb_width_expand_15m + macd_positive_15m + break_prev_high,442,30.77,-7164.0,0.539
bb_width_expand_60m + macd_above_signal_60m + break_2bar_high,197,28.93,-3019.0,0.538
bb_width_expand_30m + macd_positive_15m + break_2bar_high,331,31.12,-4642.0,0.538
bb_width_expand_30m + macd_above_signal_30m + break_2bar_high,329,31.0,-4608.0,0.537
bb_width_expand_60m + macd_golden_cross_60m + break_prev_high,21,33.33,-282.0,0.536
bb_width_expand_30m + macd_above_signal_15m + break_prev_high,328,31.71,-4686.0,0.536
