system,entry_time,exit_time,entry_price,exit_price,pnl,reason
①,2026-04-09 18:15:00,2026-04-09 20:00:27,56015.0,55955.0,-60.0,SL到達
①,2026-04-09 20:40:00,2026-04-09 23:19:03,56065.0,55995.0,-70.0,SL到達
