n,win_rate,pnl,pf,expectancy,max_dd,params
294,30.61,-3741.0,0.408,-12.724,-3837.0,"{'ma_len': 20, 'vol_mult': 1.2, 'bb_th': 0.9, 'atr_ratio': 0.7, 'stop': 20, 'tp': 40, 'hold_bars': 3, 'entry_start': 915, 'entry_end': 1030}"
255,30.2,-3312.0,0.4,-12.988,-3412.0,"{'ma_len': 20, 'vol_mult': 1.3, 'bb_th': 0.9, 'atr_ratio': 0.7, 'stop': 20, 'tp': 40, 'hold_bars': 3, 'entry_start': 915, 'entry_end': 1030}"
294,39.12,-3364.0,0.394,-11.442,-3458.0,"{'ma_len': 20, 'vol_mult': 1.2, 'bb_th': 0.9, 'atr_ratio': 0.7, 'stop': 20, 'tp': 30, 'hold_bars': 3, 'entry_start': 915, 'entry_end': 1030}"
328,29.57,-4375.0,0.389,-13.338,-4434.0,"{'ma_len': 20, 'vol_mult': 1.1, 'bb_th': 0.9, 'atr_ratio': 0.7, 'stop': 20, 'tp': 40, 'hold_bars': 3, 'entry_start': 915, 'entry_end': 1030}"
255,38.43,-3005.0,0.383,-11.784,-3073.0,"{'ma_len': 20, 'vol_mult': 1.3, 'bb_th': 0.9, 'atr_ratio': 0.7, 'stop': 20, 'tp': 30, 'hold_bars': 3, 'entry_start': 915, 'entry_end': 1030}"
328,38.11,-3918.0,0.377,-11.945,-4050.0,"{'ma_len': 20, 'vol_mult': 1.1, 'bb_th': 0.9, 'atr_ratio': 0.7, 'stop': 20, 'tp': 30, 'hold_bars': 3, 'entry_start': 915, 'entry_end': 1030}"
