entry_time,exit_time,entry_price,exit_price,pnl,reason,month
2026-04-06 09:40:00+09:00,2026-04-06 09:50:00+09:00,47690.0,47940.0,250.0,TP,2026-04
2026-04-06 10:00:00+09:00,2026-04-06 10:05:00+09:00,48090.0,47990.0,-100.0,SL,2026-04
2026-04-07 09:20:00+09:00,2026-04-07 09:20:00+09:00,48400.0,48300.0,-100.0,SL,2026-04
2026-04-08 09:20:00+09:00,2026-04-08 09:20:00+09:00,51950.0,51850.0,-100.0,SL,2026-04
2026-04-08 09:55:00+09:00,2026-04-08 09:55:00+09:00,52270.0,52170.0,-100.0,SL,2026-04
