combo,n,down_big_rate_pct,base_rate_pct,edge_pct,avg_down_move,median_down_move
far_above_ma20 + roc5_ge_0_5 + hour_13_15,109,80.73,23.46,57.28,-372.06,-175.0
far_above_ma20 + macd_hist_down + close_down_big,93,79.57,23.46,56.11,-205.54,-170.0
rsi_ge_70 + roc5_ge_0_5 + hour_13_15,80,78.75,23.46,55.29,-397.69,-175.0
far_above_ma20 + macd_positive_but_weakening + close_down_big,88,78.41,23.46,54.95,-207.9,-170.0
cci_ge_150 + roc5_ge_0_5 + hour_13_15,108,77.78,23.46,54.32,-340.46,-157.5
far_above_ma20 + bb_upper_2_touch + hour_13_15,81,77.78,23.46,54.32,-324.44,-160.0
far_above_ma20 + close_down_big,112,77.68,23.46,54.22,-205.09,-155.0
far_above_ma20 + bear_bar + close_down_big,112,77.68,23.46,54.22,-205.09,-155.0
far_above_ma20 + close_down + close_down_big,112,77.68,23.46,54.22,-205.09,-155.0
far_above_ma20 + cci_ge_150 + hour_13_15,110,77.27,23.46,53.82,-370.36,-162.5
far_above_ma20 + cci_falling + close_down_big,110,77.27,23.46,53.82,-207.14,-157.5
far_above_ma20 + roc5_turn_down + close_down_big,108,76.85,23.46,53.4,-197.78,-155.0
far_above_ma20 + bb_width_wide + close_down_big,90,76.67,23.46,53.21,-212.72,-162.5
far_above_ma20 + body_large + close_down_big,88,76.14,23.46,52.68,-190.85,-155.0
roc5_ge_1 + hour_9_10,124,75.81,23.46,52.35,-197.5,-172.5
roc5_ge_0_5 + roc5_ge_1 + hour_9_10,124,75.81,23.46,52.35,-197.5,-172.5
far_above_ma20 + roc5_ge_1 + hour_9_10,103,75.73,23.46,52.27,-196.46,-160.0
cci_ge_100 + roc5_ge_1 + hour_9_10,98,75.51,23.46,52.05,-197.24,-165.0
bb_width_wide + roc5_ge_1 + hour_9_10,101,75.25,23.46,51.79,-202.43,-175.0
ma20_down + roc5_ge_0_5 + roc5_turn_down,104,75.0,23.46,51.54,-128.8,-130.0
roc5_ge_0_5 + vol_ratio_ge_1_2 + hour_13_15,88,75.0,23.46,51.54,-266.99,-145.0
roc5_ge_1 + close_up + hour_9_10,94,74.47,23.46,51.01,-195.11,-175.0
stoch_overbought + roc5_ge_1 + hour_9_10,93,74.19,23.46,50.74,-197.31,-175.0
roc5_ge_1 + bull_bar + hour_9_10,93,74.19,23.46,50.74,-195.91,-175.0
far_above_ma20 + high_break_3 + hour_13_15,116,74.14,23.46,50.68,-320.86,-155.0
far_above_ma20 + roc5_ge_0_5 + atr_low,96,73.96,23.46,50.5,-170.62,-152.5
far_above_ma20 + body_large + hour_13_15,96,73.96,23.46,50.5,-301.56,-127.5
far_above_ma20 + atr_low + hour_9_10,99,73.74,23.46,50.28,-144.55,-120.0
cci_ge_100 + roc5_ge_0_5 + hour_13_15,153,73.2,23.46,49.75,-317.42,-150.0
far_above_ma20 + gap_down + late_night,182,72.53,23.46,49.07,-200.3,-125.0
roc5_ge_1 + atr_high + hour_9_10,87,72.41,23.46,48.96,-190.86,-155.0
roc5_ge_1 + vol_ratio_ge_1_2 + hour_9_10,104,72.12,23.46,48.66,-195.96,-155.0
roc5_ge_0_5 + gap_up + hour_13_15,93,72.04,23.46,48.59,-336.61,-160.0
roc5_ge_1 + vol_ratio_ge_1_5 + hour_9_10,92,71.74,23.46,48.28,-184.46,-155.0
below_ma50 + far_above_ma20 + stoch_overbought,123,71.54,23.46,48.09,-151.79,-120.0
far_below_ma20 + vol_ratio_ge_1_2 + close_up_big,101,71.29,23.46,47.83,-219.21,-160.0
below_ma50 + roc5_ge_0_5 + roc5_turn_down,118,71.19,23.46,47.73,-122.97,-120.0
bb_width_wide + roc5_ge_0_5 + hour_13_15,118,71.19,23.46,47.73,-276.1,-140.0
stoch_overbought + roc5_ge_0_5 + hour_13_15,152,71.05,23.46,47.6,-315.49,-145.0
macd_hist_down + cci_ge_100 + close_down_big,93,70.97,23.46,47.51,-170.48,-135.0
cci_ge_100 + close_down_big,117,70.94,23.46,47.48,-183.03,-135.0
cci_ge_100 + bear_bar + close_down_big,117,70.94,23.46,47.48,-183.03,-135.0
cci_ge_100 + close_down + close_down_big,117,70.94,23.46,47.48,-183.03,-135.0
ma20_down + roc5_ge_0_5 + upper_wick_long,89,70.79,23.46,47.33,-157.53,-110.0
cci_ge_100 + cci_falling + close_down_big,116,70.69,23.46,47.23,-183.88,-140.0
cci_ge_100 + roc5_turn_down + close_down_big,115,70.43,23.46,46.98,-180.09,-130.0
far_above_ma20 + gap_down + hour_13_15,98,70.41,23.46,46.95,-189.9,-127.5
ma50_down + roc5_ge_1 + bull_bar,91,70.33,23.46,46.87,-190.0,-150.0
far_above_ma20 + close_up + hour_13_15,160,70.0,23.46,46.54,-320.62,-142.5
far_below_ma20 + atr_high + close_up_big,110,70.0,23.46,46.54,-191.68,-162.5
cci_falling + close_up_big,80,70.0,23.46,46.54,-214.62,-125.0
cci_falling + bull_bar + close_up_big,80,70.0,23.46,46.54,-214.62,-125.0
cci_falling + close_up + close_up_big,80,70.0,23.46,46.54,-214.62,-125.0
far_above_ma20 + vol_ratio_ge_1_2 + hour_13_15,103,69.9,23.46,46.45,-261.75,-115.0
far_above_ma20 + bull_bar + hour_13_15,145,69.66,23.46,46.2,-292.97,-130.0
below_ma20 + close_up_big + monday,92,69.57,23.46,46.11,-235.6,-175.0
below_ma50 + far_above_ma20 + cci_ge_100,105,69.52,23.46,46.07,-146.14,-115.0
ma50_down + below_ma50 + far_above_ma20,144,69.44,23.46,45.99,-151.6,-117.5
ma20_down + roc5_ge_0_5 + body_small,101,69.31,23.46,45.85,-147.03,-115.0
below_ma50 + far_above_ma20,146,69.18,23.46,45.72,-150.14,-115.0
roc5_ge_0_5 + high_break_3 + hour_13_15,120,69.17,23.46,45.71,-262.79,-132.5
bb_width_wide + cci_ge_100 + close_down_big,81,69.14,23.46,45.68,-176.79,-130.0
below_ma50 + far_above_ma20 + gap_down,100,69.0,23.46,45.54,-168.05,-127.5
macd_positive_but_weakening + cci_ge_100 + close_down_big,87,68.97,23.46,45.51,-171.72,-145.0
stoch_dead + cci_ge_100 + close_down_big,80,68.75,23.46,45.29,-200.0,-140.0
cci_ge_100 + body_large + close_down_big,95,68.42,23.46,44.96,-171.42,-120.0
roc5_ge_0_5 + body_large + hour_13_15,98,68.37,23.46,44.91,-239.85,-122.5
far_above_ma20 + hour_13_15,211,68.25,23.46,44.79,-307.04,-140.0
below_ma50 + far_above_ma20 + rsi_ge_70,88,68.18,23.46,44.73,-143.58,-115.0
macd_below_signal + close_up_big + monday,116,68.1,23.46,44.65,-201.12,-130.0
below_ma50 + far_above_ma20 + close_up,109,67.89,23.46,44.43,-148.17,-115.0
ma50_down + far_above_ma20 + vol_ratio_ge_1_2,127,67.72,23.46,44.26,-185.39,-120.0
ma50_down + roc5_ge_1 + close_up,96,67.71,23.46,44.25,-182.81,-135.0
below_ma50 + far_above_ma20 + bull_bar,108,67.59,23.46,44.14,-147.55,-115.0
roc5_ge_1 + vol_ratio_ge_1_5 + gap_down,151,67.55,23.46,44.09,-172.98,-135.0
far_below_ma20 + close_up_big + gap_down,114,67.54,23.46,44.09,-231.36,-162.5
roc5_ge_0_5 + hour_13_15,200,67.5,23.46,44.04,-249.55,-130.0
body_large + close_up_big + hour_13_15,132,67.42,23.46,43.97,-229.77,-122.5
far_above_ma20 + stoch_overbought + hour_13_15,190,67.37,23.46,43.91,-322.63,-140.0
roc5_ge_1 + vol_ratio_ge_2_0 + gap_down,98,67.35,23.46,43.89,-171.99,-137.5
ma20_down + far_below_ma20 + close_up_big,156,67.31,23.46,43.85,-216.63,-160.0
far_above_ma20 + gap_up + hour_13_15,104,67.31,23.46,43.85,-348.56,-150.0
far_below_ma20 + bb_width_wide + close_up_big,137,67.15,23.46,43.7,-205.47,-160.0
close_up_big + hour_13_15,146,67.12,23.46,43.67,-226.51,-125.0
close_up + close_up_big + hour_13_15,146,67.12,23.46,43.67,-226.51,-125.0
far_below_ma20 + close_up_big,158,67.09,23.46,43.63,-214.75,-160.0
below_ma20 + far_below_ma20 + close_up_big,158,67.09,23.46,43.63,-214.75,-160.0
far_below_ma20 + close_up + close_up_big,158,67.09,23.46,43.63,-214.75,-160.0
far_above_ma20 + cci_ge_100 + hour_13_15,194,67.01,23.46,43.55,-311.29,-130.0
vol_ratio_ge_1_2 + close_up_big + hour_13_15,97,67.01,23.46,43.55,-224.33,-125.0
far_below_ma20 + macd_below_signal + close_up_big,142,66.9,23.46,43.45,-215.85,-160.0
bull_bar + close_up_big + hour_13_15,142,66.9,23.46,43.45,-228.66,-122.5
roc5_ge_0_5 + close_up + hour_13_15,154,66.88,23.46,43.43,-267.82,-125.0
far_below_ma20 + bull_bar + close_up_big,157,66.88,23.46,43.42,-214.04,-160.0
ma50_down + close_up_big + monday,162,66.67,23.46,43.21,-199.41,-127.5
roc5_ge_0_5 + bull_bar + hour_13_15,141,66.67,23.46,43.21,-239.61,-125.0
cci_ge_100 + vol_ratio_ge_1_2 + close_down_big,90,66.67,23.46,43.21,-204.67,-112.5
below_ma50 + roc5_ge_0_5 + hour_9_10,81,66.67,23.46,43.21,-145.68,-110.0
ma20_down + atr_high + close_up_big,269,66.54,23.46,43.09,-171.15,-125.0
roc5_ge_1 + vol_ratio_ge_2_0 + close_up_big,125,66.4,23.46,42.94,-188.08,-115.0
far_below_ma20 + body_large + close_up_big,122,66.39,23.46,42.94,-215.57,-145.0
roc5_ge_1 + vol_ratio_ge_2_0 + body_large,113,66.37,23.46,42.92,-179.65,-115.0
far_above_ma20 + cci_ge_100 + atr_low,193,66.32,23.46,42.87,-147.95,-110.0
rsi_le_30 + atr_high + close_up_big,89,66.29,23.46,42.84,-168.65,-115.0
far_above_ma20 + rsi_ge_70 + hour_13_15,154,66.23,23.46,42.78,-315.55,-122.5
ma20_down + rsi_le_30 + close_up_big,115,66.09,23.46,42.63,-198.26,-120.0
high_break_3 + close_up_big + hour_13_15,106,66.04,23.46,42.58,-238.35,-125.0
below_ma50 + far_below_ma20 + close_up_big,153,66.01,23.46,42.56,-212.55,-155.0
far_above_ma20 + cci_falling + hour_13_15,100,66.0,23.46,42.54,-298.85,-140.0
macd_below_signal + atr_high + close_up_big,281,65.84,23.46,42.38,-169.96,-120.0
roc5_ge_1 + vol_ratio_ge_1_2 + gap_down,199,65.83,23.46,42.37,-182.26,-135.0
below_ma20 + atr_high + close_up_big,231,65.8,23.46,42.34,-171.3,-120.0
ma50_down + far_below_ma20 + close_up_big,146,65.75,23.46,42.3,-212.71,-155.0
macd_below_signal + vol_ratio_ge_2_0 + close_up_big,172,65.7,23.46,42.24,-173.43,-117.5
ma20_down + roc5_ge_0_5 + close_up_big,102,65.69,23.46,42.23,-176.52,-117.5
ma20_down + roc5_ge_0_5 + close_down,99,65.66,23.46,42.2,-116.62,-115.0
ma50_down + far_above_ma20 + close_up_big,99,65.66,23.46,42.2,-167.63,-125.0
below_ma20 + close_up_big + gap_up,128,65.62,23.46,42.17,-163.48,-125.0
roc5_ge_0_5 + gap_down + hour_13_15,96,65.62,23.46,42.17,-110.16,-117.5
far_above_ma20 + atr_low + gap_down,186,65.59,23.46,42.14,-133.41,-100.0
ma50_down + roc5_ge_0_5 + hour_9_10,122,65.57,23.46,42.12,-153.32,-105.0
rsi_le_30 + close_up_big,116,65.52,23.46,42.06,-196.68,-117.5
below_ma20 + rsi_le_30 + close_up_big,116,65.52,23.46,42.06,-196.68,-117.5
rsi_le_30 + close_up + close_up_big,116,65.52,23.46,42.06,-196.68,-117.5
bb_width_wide + rsi_le_30 + close_up_big,113,65.49,23.46,42.03,-183.05,-115.0
far_above_ma20 + bb_width_wide + hour_13_15,162,65.43,23.46,41.98,-301.14,-120.0
far_below_ma20 + rsi_le_30 + close_up_big,101,65.35,23.46,41.89,-214.6,-120.0
ma50_down + far_above_ma20 + gap_down,294,65.31,23.46,41.85,-159.29,-110.0
rsi_le_30 + bull_bar + close_up_big,115,65.22,23.46,41.76,-195.57,-115.0
below_ma50 + close_up_big + hour_9_10,129,65.12,23.46,41.66,-169.92,-120.0
ma20_down + roc5_ge_0_5 + hour_9_10,83,65.06,23.46,41.6,-154.28,-110.0
atr_low + close_down_big + gap_down,83,65.06,23.46,41.6,-181.69,-110.0
close_down_big + hour_9_10 + monday,103,65.05,23.46,41.59,-147.96,-105.0
cci_ge_100 + atr_high + close_down_big,80,65.0,23.46,41.54,-195.75,-122.5
ma50_down + atr_high + close_up_big,299,64.88,23.46,41.43,-158.65,-115.0
rsi_le_30 + macd_below_signal + close_up_big,111,64.86,23.46,41.41,-198.78,-120.0
far_above_ma20 + close_up_big + hour_9_10,128,64.84,23.46,41.39,-154.26,-117.5
roc5_ge_0_5 + bear_bar + hour_9_10,142,64.79,23.46,41.33,-154.89,-102.5
ma20_down + vol_ratio_ge_2_0 + close_up_big,139,64.75,23.46,41.29,-165.83,-115.0
macd_positive_but_weakening + close_down_big + friday,153,64.71,23.46,41.25,-157.81,-105.0
ma20_down + close_up_big + monday,119,64.71,23.46,41.25,-201.64,-135.0
rsi_le_30 + close_up_big + gap_down,82,64.63,23.46,41.18,-216.28,-117.5
below_ma50 + vol_ratio_ge_2_0 + close_up_big,147,64.63,23.46,41.17,-169.69,-120.0
rsi_le_30 + body_large + close_up_big,93,64.52,23.46,41.06,-194.35,-115.0
far_below_ma20 + gap_up + late_night,138,64.49,23.46,41.04,-182.32,-115.0
macd_below_signal + close_up_big + hour_9_10,138,64.49,23.46,41.04,-171.01,-112.5
close_up_big + gap_down + monday,270,64.44,23.46,40.99,-173.15,-115.0
ma20_down + roc5_ge_0_5 + bear_bar,104,64.42,23.46,40.97,-158.17,-115.0
close_up_big + gap_up + hour_9_10,146,64.38,23.46,40.93,-143.42,-105.0
below_ma50 + atr_high + close_up_big,258,64.34,23.46,40.88,-168.1,-120.0
ma20_down + close_up_big + hour_9_10,129,64.34,23.46,40.88,-161.24,-110.0
below_ma20 + vol_ratio_ge_2_0 + close_up_big,112,64.29,23.46,40.83,-178.48,-120.0
below_ma50 + rsi_le_30 + close_up_big,112,64.29,23.46,40.83,-194.11,-115.0
far_below_ma20 + close_down_big + hour_9_10,165,64.24,23.46,40.79,-161.48,-120.0
far_above_ma20 + roc5_turn_down + hour_13_15,95,64.21,23.46,40.75,-327.0,-150.0
close_up_big + hour_9_10 + monday,95,64.21,23.46,40.75,-150.79,-100.0
close_up_big + gap_down + late_night,215,64.19,23.46,40.73,-206.44,-115.0
roc5_ge_0_5 + roc5_turn_down + hour_9_10,201,64.18,23.46,40.72,-152.26,-115.0
roc5_ge_0_5 + gap_down + late_night,237,64.14,23.46,40.68,-185.8,-105.0
ma50_down + close_up_big + hour_9_10,142,64.08,23.46,40.63,-157.57,-107.5
below_ma50 + roc5_ge_0_5 + close_down,103,64.08,23.46,40.62,-102.67,-110.0
close_down_big + gap_up + hour_9_10,164,64.02,23.46,40.57,-150.85,-110.0
below_ma50 + close_up_big + monday,130,63.85,23.46,40.39,-192.85,-130.0
ma50_down + far_above_ma20 + bull_bar,323,63.78,23.46,40.32,-152.46,-110.0
ma50_down + rsi_ge_75 + roc5_ge_0_5,102,63.73,23.46,40.27,-127.7,-95.0
atr_low + bear_bar + close_down_big,154,63.64,23.46,40.18,-170.97,-112.5
stoch_overbought + atr_low + close_up_big,110,63.64,23.46,40.18,-183.18,-120.0
ma20_down + below_ma20 + close_up_big,368,63.59,23.46,40.13,-179.85,-122.5
roc5_ge_0_5 + close_up_big + hour_9_10,140,63.57,23.46,40.12,-159.75,-117.5
ma50_down + rsi_le_30 + close_up_big,107,63.55,23.46,40.1,-193.08,-110.0
below_ma50 + close_up_big + gap_down,356,63.48,23.46,40.03,-181.83,-117.5
ma20_down + roc5_ge_0_5 + lower_wick_long,93,63.44,23.46,39.98,-152.1,-110.0
roc5_ge_0_5 + close_down + hour_9_10,142,63.38,23.46,39.92,-154.79,-100.0
far_below_ma20 + hour_9_10 + monday,232,63.36,23.46,39.91,-155.75,-100.0
macd_positive_but_weakening + close_down_big + hour_9_10,199,63.32,23.46,39.86,-145.8,-105.0
ma50_down + close_up_big + gap_down,444,63.29,23.46,39.83,-188.22,-117.5
roc5_ge_1 + close_up_big + gap_down,158,63.29,23.46,39.83,-173.48,-120.0
ma50_down + far_above_ma20 + lower_wick_long,117,63.25,23.46,39.79,-133.5,-110.0
ma50_down + roc5_ge_0_5 + roc5_turn_down,212,63.21,23.46,39.75,-139.2,-107.5
below_ma20 + close_up_big,404,63.12,23.46,39.66,-179.2,-122.5
below_ma20 + close_up + close_up_big,404,63.12,23.46,39.66,-179.2,-122.5
roc5_ge_0_5 + gap_down + hour_9_10,333,63.06,23.46,39.61,-148.96,-105.0
close_down_big + gap_up + late_night,138,63.04,23.46,39.59,-196.12,-122.5
ma50_down + vol_ratio_ge_2_0 + close_up_big,211,63.03,23.46,39.58,-178.89,-105.0
below_ma20 + bull_bar + close_up_big,400,63.0,23.46,39.54,-179.02,-120.0
roc5_ge_1 + body_large + close_up_big,213,62.91,23.46,39.45,-171.24,-115.0
ma50_down + far_above_ma20 + bb_upper_2_touch,124,62.9,23.46,39.45,-169.56,-107.5
rsi_ge_75 + close_up_big + hour_9_10,97,62.89,23.46,39.43,-140.41,-105.0
below_ma20 + close_up_big + hour_9_10,105,62.86,23.46,39.4,-173.76,-125.0
ma50_down + far_above_ma20 + close_up,331,62.84,23.46,39.38,-149.4,-110.0
ma50_down + close_down_big + hour_13_15,113,62.83,23.46,39.38,-193.63,-140.0
atr_low + close_down_big,156,62.82,23.46,39.36,-169.2,-110.0
atr_low + close_down + close_down_big,156,62.82,23.46,39.36,-169.2,-110.0
macd_hist_down + atr_low + close_down_big,145,62.76,23.46,39.3,-170.83,-115.0
far_above_ma20 + rsi_ge_75 + hour_13_15,126,62.7,23.46,39.24,-306.15,-115.0
ma20_down + roc5_ge_0_5 + gap_up,134,62.69,23.46,39.23,-158.73,-110.0
below_ma20 + vol_ratio_ge_1_2 + close_up_big,249,62.65,23.46,39.19,-179.52,-120.0
below_ma20 + below_ma50 + close_up_big,364,62.64,23.46,39.18,-178.16,-120.0
ma50_down + far_above_ma20 + high_break_3,190,62.63,23.46,39.18,-159.61,-107.5
close_down_big + gap_down + friday,254,62.6,23.46,39.14,-161.91,-100.0
ma20_down + close_up_big + gap_up,184,62.5,23.46,39.04,-155.11,-110.0
close_down_big + late_night + friday,160,62.5,23.46,39.04,-188.97,-107.5
roc5_ge_1 + gap_down + monday,128,62.5,23.46,39.04,-108.32,-115.0
below_ma50 + roc5_ge_0_5 + body_small,120,62.5,23.46,39.04,-142.04,-102.5
below_ma50 + roc5_ge_0_5 + bear_bar,104,62.5,23.46,39.04,-142.16,-107.5
ma20_down + bull_bar + close_up_big,530,62.45,23.46,39.0,-171.28,-115.0
ma20_down + close_up_big + gap_down,327,62.39,23.46,38.93,-183.09,-115.0
roc5_ge_1 + vol_ratio_ge_1_5 + monday,101,62.38,23.46,38.92,-173.37,-115.0
vol_ratio_ge_2_0 + close_up_big + gap_down,372,62.37,23.46,38.91,-166.98,-105.0
macd_hist_down + close_up_big,93,62.37,23.46,38.91,-172.58,-120.0
macd_hist_down + bull_bar + close_up_big,93,62.37,23.46,38.91,-172.58,-120.0
macd_hist_down + close_up + close_up_big,93,62.37,23.46,38.91,-172.58,-120.0
far_above_ma20 + vol_ratio_ge_1_5 + gap_down,502,62.35,23.46,38.89,-141.82,-107.5
macd_below_signal + close_up_big + gap_down,292,62.33,23.46,38.87,-179.52,-120.0
below_ma20 + vol_ratio_ge_1_5 + close_up_big,191,62.3,23.46,38.85,-180.92,-120.0
atr_low + high_break_3 + close_up_big,122,62.3,23.46,38.84,-182.66,-117.5
ma50_down + far_above_ma20 + roc5_ge_0_5,236,62.29,23.46,38.83,-159.77,-100.0
ma20_down + roc5_ge_0_5 + atr_high,175,62.29,23.46,38.83,-127.03,-110.0
ma50_down + below_ma20 + close_up_big,334,62.28,23.46,38.82,-174.45,-117.5
below_ma50 + roc5_ge_0_5 + atr_high,159,62.26,23.46,38.81,-117.55,-110.0
cci_falling + atr_low + close_down_big,151,62.25,23.46,38.8,-165.83,-110.0
macd_below_signal + roc5_ge_0_5,188,62.23,23.46,38.78,-162.53,-112.5
body_large + close_down_big + hour_13_15,127,62.2,23.46,38.75,-229.76,-115.0
macd_below_signal + bull_bar + close_up_big,518,62.16,23.46,38.71,-169.22,-115.0
roc5_turn_down + atr_low + close_down_big,148,62.16,23.46,38.71,-169.16,-110.0
below_ma20 + close_up_big + gap_down,251,62.15,23.46,38.7,-193.53,-120.0
cci_falling + close_down_big + hour_13_15,140,62.14,23.46,38.69,-211.64,-132.5
below_ma50 + atr_low + close_down_big,103,62.14,23.46,38.68,-167.33,-115.0
ma20_down + atr_low + close_down_big,95,62.11,23.46,38.65,-160.16,-110.0
ma50_down + atr_low + close_down_big,95,62.11,23.46,38.65,-156.84,-110.0
ma20_down + vol_ratio_ge_1_2 + close_up_big,319,62.07,23.46,38.61,-166.13,-110.0
roc5_ge_1 + vol_ratio_ge_1_5 + body_large,174,62.07,23.46,38.61,-165.46,-102.5
bear_bar + close_down_big + hour_13_15,145,62.07,23.46,38.61,-250.79,-130.0
vol_ratio_ge_1_5 + close_up_big + gap_down,506,62.06,23.46,38.6,-167.59,-105.0
roc5_ge_1 + bull_bar + gap_down,279,62.01,23.46,38.55,-156.76,-105.0
below_ma50 + roc5_ge_0_5 + upper_wick_long,100,62.0,23.46,38.54,-137.05,-100.0
roc5_ge_1 + roc5_turn_down + gap_down,171,61.99,23.46,38.53,-127.81,-100.0
low_break_3 + close_down_big + hour_13_15,113,61.95,23.46,38.49,-260.44,-140.0
roc5_ge_0_5 + vol_ratio_ge_2_0 + gap_down,381,61.94,23.46,38.49,-140.92,-100.0
below_ma20 + macd_below_signal + close_up_big,341,61.88,23.46,38.42,-174.72,-120.0
below_ma50 + vol_ratio_ge_1_5 + close_up_big,257,61.87,23.46,38.41,-167.3,-110.0
ma20_down + close_up_big,545,61.83,23.46,38.38,-169.09,-115.0
ma20_down + close_up + close_up_big,545,61.83,23.46,38.38,-169.09,-115.0
cci_ge_100 + roc5_ge_0_5 + atr_low,131,61.83,23.46,38.38,-148.24,-110.0
roc5_ge_1 + vol_ratio_ge_1_5 + close_up_big,186,61.83,23.46,38.37,-171.69,-102.5
ma50_down + far_above_ma20 + cci_ge_150,178,61.8,23.46,38.34,-156.43,-100.0
macd_below_signal + atr_low + close_down_big,89,61.8,23.46,38.34,-181.8,-105.0
ma20_down + vol_ratio_ge_1_5 + close_up_big,246,61.79,23.46,38.33,-168.35,-107.5
ma20_down + macd_below_signal + close_up_big,353,61.76,23.46,38.3,-172.89,-120.0
roc5_ge_1 + vol_ratio_ge_2_0 + high_break_3,162,61.73,23.46,38.27,-165.12,-105.0
vol_ratio_ge_1_5 + close_up_big + hour_9_10,290,61.72,23.46,38.27,-143.14,-100.0
macd_hist_down + close_down_big + hour_13_15,141,61.7,23.46,38.25,-237.7,-130.0
macd_positive_but_weakening + bear_bar + close_down_big,629,61.69,23.46,38.23,-166.26,-110.0
vol_ratio_ge_1_2 + close_down_big + hour_13_15,107,61.68,23.46,38.23,-253.22,-125.0
ma50_down + vol_ratio_ge_1_5 + close_up_big,339,61.65,23.46,38.2,-176.74,-105.0
far_above_ma20 + vol_ratio_ge_1_2 + gap_down,727,61.62,23.46,38.17,-148.03,-105.0
macd_below_signal + close_down_big + hour_13_15,112,61.61,23.46,38.15,-256.7,-135.0
macd_below_signal + vol_ratio_ge_1_2 + close_up_big,349,61.6,23.46,38.15,-172.54,-110.0
below_ma20 + atr_low + close_down_big,125,61.6,23.46,38.14,-172.4,-115.0
below_ma50 + bull_bar + close_up_big,552,61.59,23.46,38.14,-168.73,-112.5
ma20_down + bb_width_wide + close_up_big,333,61.56,23.46,38.11,-153.33,-110.0
roc5_ge_1 + high_break_3 + gap_down,200,61.5,23.46,38.04,-164.12,-115.0
ma20_down + below_ma50 + close_up_big,462,61.47,23.46,38.02,-171.08,-112.5
below_ma50 + roc5_ge_0_5 + close_up_big,109,61.47,23.46,38.01,-162.98,-110.0
close_up_big + hour_9_10,397,61.46,23.46,38.0,-146.11,-100.0
bull_bar + close_up_big + hour_9_10,397,61.46,23.46,38.0,-146.11,-100.0
close_up + close_up_big + hour_9_10,397,61.46,23.46,38.0,-146.11,-100.0
ma20_down + ma50_down + close_up_big,441,61.45,23.46,38.0,-165.46,-110.0
stoch_overbought + roc5_ge_0_5 + atr_low,166,61.45,23.46,37.99,-150.75,-107.5
ma50_down + bull_bar + close_up_big,671,61.4,23.46,37.94,-170.41,-110.0
vol_ratio_ge_2_0 + atr_high + close_up_big,430,61.4,23.46,37.94,-152.35,-100.0
ma50_down + far_above_ma20 + cci_ge_100,373,61.39,23.46,37.94,-140.51,-100.0
far_below_ma20 + gap_down + hour_13_15,145,61.38,23.46,37.92,-205.38,-135.0
atr_low + body_large + close_down_big,132,61.36,23.46,37.91,-162.84,-105.0
macd_below_signal + close_up_big,533,61.35,23.46,37.89,-166.57,-110.0
macd_below_signal + close_up + close_up_big,533,61.35,23.46,37.89,-166.57,-110.0
macd_below_signal + vol_ratio_ge_1_5 + close_up_big,269,61.34,23.46,37.88,-172.17,-110.0
bear_bar + close_down_big + friday,367,61.31,23.46,37.85,-158.49,-105.0
below_ma50 + close_down_big + hour_13_15,124,61.29,23.46,37.83,-194.56,-132.5
bb_width_wide + vol_ratio_ge_2_0 + close_up_big,426,61.27,23.46,37.81,-143.96,-100.0
stoch_dead + roc5_ge_0_5 + hour_9_10,142,61.27,23.46,37.81,-140.92,-100.0
below_ma50 + roc5_ge_0_5 + lower_wick_long,111,61.26,23.46,37.81,-146.4,-110.0
ma20_down + roc5_ge_0_5 + gap_down,258,61.24,23.46,37.78,-130.87,-100.0
below_ma20 + bb_width_wide + close_up_big,276,61.23,23.46,37.78,-159.78,-115.0
roc5_ge_0_5 + vol_ratio_ge_2_0 + close_up_big,325,61.23,23.46,37.77,-156.17,-100.0
roc5_ge_0_5 + atr_low + gap_down,116,61.21,23.46,37.75,-148.79,-100.0
vol_ratio_ge_1_2 + close_up_big + hour_9_10,322,61.18,23.46,37.72,-145.7,-100.0
ma20_down + close_up_big + late_night,175,61.14,23.46,37.69,-195.43,-120.0
below_ma50 + vol_ratio_ge_1_2 + close_up_big,329,61.09,23.46,37.64,-163.43,-110.0
bb_width_wide + close_up_big + hour_9_10,239,61.09,23.46,37.63,-138.62,-100.0
ma50_down + below_ma50 + close_up_big,519,61.08,23.46,37.62,-162.78,-110.0
below_ma20 + body_large + close_up_big,334,61.08,23.46,37.62,-171.77,-120.0
close_down_big + hour_13_15,149,61.07,23.46,37.62,-206.64,-125.0
close_down + close_down_big + hour_13_15,149,61.07,23.46,37.62,-206.64,-125.0
atr_low + close_up_big + gap_down,95,61.05,23.46,37.6,-200.11,-110.0
vol_ratio_ge_1_2 + close_down_big + hour_9_10,403,61.04,23.46,37.59,-146.45,-105.0
close_up_big + gap_down + hour_9_10,213,61.03,23.46,37.58,-156.55,-110.0
below_ma50 + close_up_big,567,61.02,23.46,37.57,-166.25,-110.0
below_ma50 + close_up + close_up_big,567,61.02,23.46,37.57,-166.25,-110.0
roc5_ge_0_5 + vol_ratio_ge_1_5 + gap_down,541,61.0,23.46,37.54,-143.36,-100.0
vol_ratio_ge_2_0 + close_up_big + hour_9_10,241,61.0,23.46,37.54,-140.39,-100.0
far_above_ma20 + vol_ratio_ge_2_0 + gap_down,323,60.99,23.46,37.53,-139.29,-100.0
macd_below_signal + close_up_big + gap_up,205,60.98,23.46,37.52,-155.12,-100.0
roc5_ge_0_5 + vol_ratio_ge_2_0 + monday,238,60.92,23.46,37.47,-152.16,-100.0
